t,Fx,Fy,disp_max,volume
0.00250,-5.387766e-22,0.000000e+00,0.000000e+00,1.255740e-01
0.00500,4.206043e-02,1.142954e-02,7.235770e-06,1.255740e-01
0.00750,5.583831e-02,1.533544e-02,2.463581e-05,1.255740e-01
0.01000,5.401558e-02,1.499640e-02,5.228562e-05,1.255740e-01
0.01250,4.839044e-02,1.356776e-02,8.932197e-05,1.255740e-01
0.01500,4.272693e-02,1.207749e-02,1.347710e-04,1.255740e-01
0.01750,3.799139e-02,1.080574e-02,1.876858e-04,1.255740e-01
0.02000,3.424227e-02,9.782844e-03,2.473127e-04,1.255740e-01
0.02250,3.130816e-02,8.971474e-03,3.130485e-04,1.255740e-01
0.02500,2.899596e-02,8.324404e-03,3.844112e-04,1.255740e-01
0.02750,2.714604e-02,7.801017e-03,4.610119e-04,1.255740e-01
0.03000,2.563867e-02,7.370131e-03,5.425313e-04,1.255740e-01
0.03250,2.438730e-02,7.008848e-03,6.287030e-04,1.255739e-01
0.03500,2.333010e-02,6.700610e-03,7.193010e-04,1.255739e-01
0.03750,2.242277e-02,6.433452e-03,8.141304e-04,1.255739e-01
0.04000,2.163329e-02,6.198666e-03,9.130208e-04,1.255739e-01
0.04250,2.093818e-02,5.989834e-03,1.015822e-03,1.255739e-01
0.04500,2.031992e-02,5.802151e-03,1.122398e-03,1.255739e-01
0.04750,1.976521e-02,5.631965e-03,1.232630e-03,1.255738e-01
0.05000,1.926379e-02,5.476449e-03,1.346405e-03,1.255738e-01
0.05250,1.880758e-02,5.333382e-03,1.463624e-03,1.255738e-01
0.05500,1.839016e-02,5.200992e-03,1.584194e-03,1.255738e-01
0.05750,1.800632e-02,5.077843e-03,1.708030e-03,1.255737e-01
0.06000,1.765180e-02,4.962760e-03,1.835051e-03,1.255737e-01
0.06250,1.732307e-02,4.854769e-03,1.965185e-03,1.255737e-01
0.06500,1.701718e-02,4.753055e-03,2.098361e-03,1.255736e-01
0.06750,1.673162e-02,4.656926e-03,2.234515e-03,1.255736e-01
0.07000,1.646426e-02,4.565795e-03,2.373585e-03,1.255736e-01
0.07250,1.621327e-02,4.479157e-03,2.515514e-03,1.255735e-01
0.07500,1.597709e-02,4.396574e-03,2.660248e-03,1.255735e-01
0.07750,1.575432e-02,4.317665e-03,2.807734e-03,1.255735e-01
0.08000,1.554377e-02,4.242099e-03,2.957922e-03,1.255734e-01
0.08250,1.534439e-02,4.169581e-03,3.110767e-03,1.255734e-01
0.08500,1.515524e-02,4.099855e-03,3.266224e-03,1.255734e-01
0.08750,1.497550e-02,4.032689e-03,3.424248e-03,1.255733e-01
0.09000,1.480442e-02,3.967880e-03,3.584801e-03,1.255733e-01
0.09250,1.464135e-02,3.905245e-03,3.747841e-03,1.255733e-01
0.09500,1.448570e-02,3.844620e-03,3.913331e-03,1.255732e-01
0.09750,1.433693e-02,3.785855e-03,4.081235e-03,1.255732e-01
0.10000,1.419456e-02,3.728819e-03,4.251517e-03,1.255731e-01
0.10250,1.405816e-02,3.673389e-03,4.424144e-03,1.255731e-01
0.10500,1.392732e-02,3.619456e-03,4.599082e-03,1.255731e-01
0.10750,1.380170e-02,3.566918e-03,4.776301e-03,1.255730e-01
0.11000,1.368094e-02,3.515684e-03,4.955768e-03,1.255730e-01
0.11250,1.356476e-02,3.465671e-03,5.137455e-03,1.255729e-01
0.11500,1.345288e-02,3.416800e-03,5.321333e-03,1.255729e-01
0.11750,1.334503e-02,3.369001e-03,5.507372e-03,1.255728e-01
0.12000,1.324099e-02,3.322206e-03,5.695547e-03,1.255728e-01
0.12250,1.314053e-02,3.276355e-03,5.885830e-03,1.255728e-01
0.12500,1.304345e-02,3.231390e-03,6.078194e-03,1.255727e-01
0.12750,1.294956e-02,3.187260e-03,6.272615e-03,1.255727e-01
0.13000,1.285870e-02,3.143915e-03,6.469068e-03,1.255726e-01
0.13250,1.277070e-02,3.101311e-03,6.667528e-03,1.255726e-01
0.13500,1.268541e-02,3.059406e-03,6.867971e-03,1.255726e-01
0.13750,1.260268e-02,3.018161e-03,7.070373e-03,1.255725e-01
