t,cx,cy,theta,Vc_x,Vc_y,omega
0.00250,0.600000,0.500000,0.000000,0.000000e+00,0.000000e+00,0.000000e+00
0.00500,0.599987,0.499997,-0.000000,-5.005316e-03,-1.378123e-03,-7.961245e-05
0.00750,0.599963,0.499990,0.000000,-9.984326e-03,-2.752020e-03,1.787354e-04
0.01000,0.599937,0.499983,0.000001,-1.010189e-02,-2.809852e-03,1.832967e-04
0.01250,0.599908,0.499975,0.000001,-1.179853e-02,-3.243715e-03,3.154824e-04
0.01500,0.599877,0.499966,0.000002,-1.220817e-02,-3.331966e-03,2.742153e-04
0.01750,0.599844,0.499957,0.000003,-1.338756e-02,-3.604313e-03,3.436277e-04
0.02000,0.599809,0.499948,0.000004,-1.406737e-02,-3.745121e-03,3.048784e-04
0.02250,0.599771,0.499938,0.000005,-1.505441e-02,-3.963928e-03,3.553432e-04
0.02500,0.599731,0.499928,0.000006,-1.582620e-02,-4.132354e-03,3.310238e-04
0.02750,0.599690,0.499917,0.000006,-1.671151e-02,-4.334510e-03,3.731360e-04
0.03000,0.599646,0.499905,0.000007,-1.749926e-02,-4.517393e-03,3.600155e-04
0.03250,0.599600,0.499894,0.000008,-1.832462e-02,-4.714120e-03,3.955946e-04
0.03500,0.599552,0.499881,0.000009,-1.910254e-02,-4.902495e-03,3.901405e-04
0.03750,0.599503,0.499869,0.000010,-1.988860e-02,-5.095623e-03,4.209202e-04
0.04000,0.599451,0.499855,0.000011,-2.064854e-02,-5.284368e-03,4.214550e-04
0.04250,0.599397,0.499842,0.000013,-2.140528e-02,-5.474119e-03,4.491467e-04
0.04500,0.599342,0.499828,0.000014,-2.214517e-02,-5.661210e-03,4.544652e-04
0.04750,0.599285,0.499813,0.000015,-2.287783e-02,-5.847912e-03,4.800307e-04
0.05000,0.599226,0.499798,0.000016,-2.359802e-02,-6.032722e-03,4.888910e-04
0.05250,0.599165,0.499782,0.000017,-2.430992e-02,-6.216569e-03,5.127581e-04
0.05500,0.599103,0.499766,0.000019,-2.501167e-02,-6.398782e-03,5.240992e-04
0.05750,0.599038,0.499750,0.000020,-2.570524e-02,-6.579720e-03,5.465603e-04
0.06000,0.598972,0.499733,0.000021,-2.639009e-02,-6.759065e-03,5.596430e-04
0.06250,0.598905,0.499716,0.000023,-2.706724e-02,-6.936965e-03,5.809923e-04
0.06500,0.598835,0.499698,0.000024,-2.773669e-02,-7.113272e-03,5.953348e-04
0.06750,0.598764,0.499680,0.000026,-2.839904e-02,-7.288072e-03,6.158274e-04
0.07000,0.598692,0.499661,0.000028,-2.905448e-02,-7.461312e-03,6.310872e-04
0.07250,0.598617,0.499642,0.000029,-2.970345e-02,-7.633057e-03,6.509258e-04
0.07500,0.598542,0.499622,0.000031,-3.034619e-02,-7.803297e-03,6.668362e-04
0.07750,0.598464,0.499603,0.000033,-3.098306e-02,-7.972094e-03,6.861368e-04
0.08000,0.598385,0.499582,0.000034,-3.161432e-02,-8.139460e-03,7.024833e-04
0.08250,0.598305,0.499561,0.000036,-3.224026e-02,-8.305453e-03,7.213274e-04
0.08500,0.598222,0.499540,0.000038,-3.286114e-02,-8.470096e-03,7.379269e-04
0.08750,0.598139,0.499519,0.000040,-3.347721e-02,-8.633439e-03,7.563337e-04
0.09000,0.598053,0.499497,0.000042,-3.408870e-02,-8.795512e-03,7.729977e-04
0.09250,0.597967,0.499474,0.000044,-3.469585e-02,-8.956361e-03,7.909244e-04
0.09500,0.597878,0.499451,0.000046,-3.529885e-02,-9.116016e-03,8.074566e-04
0.09750,0.597789,0.499428,0.000048,-3.589792e-02,-9.274522e-03,8.248309e-04
0.10000,0.597697,0.499405,0.000050,-3.649323e-02,-9.431908e-03,8.410566e-04
0.10250,0.597605,0.499381,0.000052,-3.708497e-02,-9.588214e-03,8.577899e-04
0.10500,0.597511,0.499356,0.000054,-3.767330e-02,-9.743471e-03,8.735245e-04
0.10750,0.597415,0.499332,0.000056,-3.825838e-02,-9.897717e-03,8.894753e-04
0.11000,0.597318,0.499307,0.000059,-3.884036e-02,-1.005098e-02,9.044957e-04
0.11250,0.597219,0.499281,0.000061,-3.941938e-02,-1.020329e-02,9.194806e-04
0.11500,0.597119,0.499255,0.000063,-3.999556e-02,-1.035469e-02,9.335748e-04
0.11750,0.597018,0.499229,0.000066,-4.056902e-02,-1.050519e-02,9.474363e-04
0.12000,0.596915,0.499202,0.000068,-4.113988e-02,-1.065484e-02,9.604133e-04
0.12250,0.596811,0.499175,0.000071,-4.170825e-02,-1.080366e-02,9.729843e-04
0.12500,0.596705,0.499148,0.000073,-4.227421e-02,-1.095168e-02,9.846538e-04
0.12750,0.596598,0.499120,0.000076,-4.283786e-02,-1.109892e-02,9.957760e-04
0.13000,0.596489,0.499092,0.000078,-4.339928e-02,-1.124541e-02,1.005970e-03
0.13250,0.596380,0.499063,0.000081,-4.395853e-02,-1.139120e-02,1.015453e-03
0.13500,0.596268,0.499035,0.000083,-4.451569e-02,-1.153632e-02,1.023922e-03
0.13750,0.596156,0.499005,0.000086,-4.507081e-02,-1.168079e-02,1.031536e-03
0.14000,0.596042,0.498976,0.000088,-4.562394e-02,-1.182465e-02,1.038092e-03
0.14250,0.595926,0.498946,0.000091,-4.617512e-02,-1.196793e-02,1.043718e-03
0.14500,0.595809,0.498916,0.000094,-4.672439e-02,-1.211064e-02,1.048271e-03
0.14750,0.595691,0.498885,0.000096,-4.727177e-02,-1.225281e-02,1.051860e-03
0.15000,0.595572,0.498854,0.000099,-4.781729e-02,-1.239446e-02,1.054385e-03
0.15250,0.595451,0.498823,0.000101,-4.836095e-02,-1.253562e-02,1.055914e-03
0.15500,0.595328,0.498791,0.000104,-4.890276e-02,-1.267628e-02,1.056369e-03
0.15750,0.595205,0.498759,0.000107,-4.944272e-02,-1.281647e-02,1.055800e-03
0.16000,0.595080,0.498727,0.000109,-4.998083e-02,-1.295619e-02,1.054115e-03
0.16250,0.594954,0.498694,0.000112,-5.051707e-02,-1.309545e-02,1.051370e-03
0.16500,0.594826,0.498661,0.000115,-5.105142e-02,-1.323425e-02,1.047504e-03
0.16750,0.594697,0.498627,0.000117,-5.158386e-02,-1.337260e-02,1.042573e-03
0.17000,0.594567,0.498594,0.000120,-5.211436e-02,-1.351048e-02,1.036522e-03
0.17250,0.594435,0.498559,0.000122,-5.264288e-02,-1.364791e-02,1.029371e-03
0.17500,0.594302,0.498525,0.000125,-5.316940e-02,-1.378485e-02,1.021073e-03
0.17750,0.594168,0.498490,0.000127,-5.369386e-02,-1.392131e-02,1.011649e-03
0.18000,0.594032,0.498455,0.000130,-5.421622e-02,-1.405725e-02,1.001055e-03
0.18250,0.593896,0.498420,0.000132,-5.473644e-02,-1.419266e-02,9.893143e-04
0.18500,0.593757,0.498384,0.000135,-5.525444e-02,-1.432748e-02,9.764039e-04
0.18750,0.593618,0.498348,0.000137,-5.577019e-02,-1.446170e-02,9.623306e-04
0.19000,0.593477,0.498311,0.000140,-5.628361e-02,-1.459528e-02,9.470756e-04
0.19250,0.593335,0.498274,0.000142,-5.679464e-02,-1.472816e-02,9.306510e-04
0.19500,0.593192,0.498237,0.000144,-5.730322e-02,-1.486031e-02,9.130405e-04
0.19750,0.593048,0.498200,0.000146,-5.780928e-02,-1.499166e-02,8.942511e-04
0.20000,0.592902,0.498162,0.000149,-5.831276e-02,-1.512219e-02,8.742587e-04
0.20250,0.592755,0.498124,0.000151,-5.881359e-02,-1.525182e-02,8.530675e-04
0.20500,0.592606,0.498085,0.000153,-5.931171e-02,-1.538050e-02,8.306645e-04
0.20750,0.592457,0.498047,0.000155,-5.980707e-02,-1.550818e-02,8.070860e-04
0.21000,0.592306,0.498007,0.000157,-6.029961e-02,-1.563480e-02,7.822811e-04
0.21250,0.592154,0.497968,0.000159,-6.078929e-02,-1.576029e-02,7.562862e-04
0.21500,0.592001,0.497928,0.000161,-6.127604e-02,-1.588459e-02,7.290418e-04
0.21750,0.591847,0.497888,0.000162,-6.175984e-02,-1.600765e-02,7.005326e-04
0.22000,0.591691,0.497848,0.000164,-6.224061e-02,-1.612941e-02,6.707100e-04
0.22250,0.591534,0.497807,0.000166,-6.271834e-02,-1.624982e-02,6.395958e-04
0.22500,0.591376,0.497766,0.000167,-6.319297e-02,-1.636884e-02,6.071651e-04
0.22750,0.591217,0.497725,0.000169,-6.366448e-02,-1.648641e-02,5.734452e-04
0.23000,0.591057,0.497684,0.000170,-6.413285e-02,-1.660250e-02,5.384269e-04
0.23250,0.590895,0.497642,0.000171,-6.459805e-02,-1.671707e-02,5.020853e-04
0.23500,0.590733,0.497600,0.000172,-6.506007e-02,-1.683009e-02,4.644056e-04
0.23750,0.590569,0.497557,0.000173,-6.551892e-02,-1.694153e-02,4.252988e-04
0.24000,0.590404,0.497515,0.000174,-6.597458e-02,-1.705138e-02,3.847594e-04
0.24250,0.590238,0.497472,0.000175,-6.642703e-02,-1.715964e-02,3.427432e-04
0.24500,0.590071,0.497429,0.000176,-6.687631e-02,-1.726630e-02,2.991590e-04
0.24750,0.589902,0.497385,0.000177,-6.732241e-02,-1.737132e-02,2.537638e-04
0.25000,0.589733,0.497342,0.000177,-6.776533e-02,-1.747470e-02,2.063879e-04
0.25250,0.589562,0.497298,0.000177,-6.820510e-02,-1.757641e-02,1.567401e-04
0.25500,0.589391,0.497254,0.000178,-6.864172e-02,-1.767644e-02,1.045806e-04
0.25750,0.589218,0.497209,0.000178,-6.907521e-02,-1.777477e-02,4.969059e-05
0.26000,0.589044,0.497164,0.000178,-6.950560e-02,-1.787141e-02,-8.107629e-06
0.26250,0.588869,0.497120,0.000178,-6.993289e-02,-1.796633e-02,-6.906777e-05
0.26500,0.588694,0.497074,0.000177,-7.035714e-02,-1.805952e-02,-1.333547e-04
0.26750,0.588517,0.497029,0.000177,-7.077834e-02,-1.815097e-02,-2.012237e-04
0.27000,0.588339,0.496983,0.000176,-7.119653e-02,-1.824071e-02,-2.730008e-04
0.27250,0.588160,0.496938,0.000175,-7.161172e-02,-1.832874e-02,-3.488197e-04
0.27500,0.587980,0.496892,0.000174,-7.202395e-02,-1.841507e-02,-4.287931e-04
0.27750,0.587798,0.496845,0.000173,-7.243323e-02,-1.849969e-02,-5.129656e-04
0.28000,0.587616,0.496799,0.000171,-7.283959e-02,-1.858262e-02,-6.013580e-04
0.28250,0.587433,0.496752,0.000170,-7.324303e-02,-1.866384e-02,-6.939932e-04
0.28500,0.587249,0.496705,0.000168,-7.364358e-02,-1.874332e-02,-7.908915e-04
0.28750,0.587064,0.496658,0.000165,-7.404123e-02,-1.882106e-02,-8.920738e-04
0.29000,0.586878,0.496611,0.000163,-7.443602e-02,-1.889707e-02,-9.974807e-04
0.29250,0.586691,0.496564,0.000160,-7.482793e-02,-1.897133e-02,-1.107121e-03
0.29500,0.586503,0.496516,0.000157,-7.521699e-02,-1.904382e-02,-1.220865e-03
0.29750,0.586314,0.496468,0.000154,-7.560319e-02,-1.911452e-02,-1.338747e-03
0.30000,0.586124,0.496420,0.000150,-7.598655e-02,-1.918343e-02,-1.460670e-03
0.30250,0.585933,0.496372,0.000146,-7.636708e-02,-1.925053e-02,-1.586694e-03
0.30500,0.585741,0.496324,0.000142,-7.674479e-02,-1.931586e-02,-1.716662e-03
0.30750,0.585548,0.496275,0.000137,-7.711968e-02,-1.937942e-02,-1.850654e-03
0.31000,0.585355,0.496227,0.000132,-7.749176e-02,-1.944125e-02,-1.988494e-03
0.31250,0.585160,0.496178,0.000127,-7.786106e-02,-1.950136e-02,-2.130190e-03
0.31500,0.584964,0.496129,0.000121,-7.822758e-02,-1.955979e-02,-2.275607e-03
0.31750,0.584768,0.496080,0.000115,-7.859134e-02,-1.961656e-02,-2.424786e-03
0.32000,0.584570,0.496031,0.000109,-7.895236e-02,-1.967170e-02,-2.577626e-03
0.32250,0.584372,0.495982,0.000102,-7.931063e-02,-1.972522e-02,-2.734112e-03
0.32500,0.584173,0.495932,0.000095,-7.966618e-02,-1.977716e-02,-2.894030e-03
0.32750,0.583973,0.495883,0.000087,-8.001903e-02,-1.982755e-02,-3.057350e-03
0.33000,0.583772,0.495833,0.000079,-8.036918e-02,-1.987645e-02,-3.224050e-03
0.33250,0.583570,0.495783,0.000071,-8.071666e-02,-1.992392e-02,-3.394142e-03
0.33500,0.583368,0.495733,0.000062,-8.106148e-02,-1.997002e-02,-3.567657e-03
0.33750,0.583164,0.495683,0.000052,-8.140368e-02,-2.001481e-02,-3.744679e-03
0.34000,0.582960,0.495633,0.000042,-8.174326e-02,-2.005834e-02,-3.925324e-03
