t,cx,cy,theta,Fx,Fy,Mz,Cx,Cy,Cm
0.00250,0.600000,0.500000,0.000000,-2.769860e-21,0.000000e+00,5.494584e-22,0.0000,-0.0000,-0.0000
0.00500,0.599987,0.499997,-0.000000,1.844931e-01,5.013176e-02,3.314056e-06,-0.9225,-0.2507,-0.0000
0.00750,0.599963,0.499990,0.000000,7.703676e-02,2.587559e-02,3.132148e-04,-0.3852,-0.1294,-0.0039
0.01000,0.599937,0.499983,0.000001,1.154649e-01,4.052354e-02,4.634302e-05,-0.5773,-0.2026,-0.0006
0.01250,0.599908,0.499975,0.000001,6.622810e-02,3.188873e-02,1.631515e-04,-0.3311,-0.1594,-0.0020
0.01500,0.599877,0.499966,0.000002,7.993644e-02,3.726816e-02,-2.684973e-05,-0.3997,-0.1863,0.0003
0.01750,0.599844,0.499957,0.000003,5.814672e-02,3.205072e-02,9.054314e-05,-0.2907,-0.1603,-0.0011
0.02000,0.599809,0.499948,0.000004,6.166098e-02,3.218518e-02,-2.680628e-05,-0.3083,-0.1609,0.0003
0.02250,0.599771,0.499938,0.000005,5.063043e-02,2.827502e-02,7.499345e-05,-0.2532,-0.1414,-0.0009
0.02500,0.599731,0.499928,0.000006,5.005504e-02,2.698358e-02,-6.607137e-06,-0.2503,-0.1349,0.0001
0.02750,0.599690,0.499917,0.000006,4.383774e-02,2.447957e-02,7.030095e-05,-0.2192,-0.1224,-0.0009
0.03000,0.599646,0.499905,0.000007,4.216151e-02,2.333031e-02,8.324313e-06,-0.2108,-0.1167,-0.0001
0.03250,0.599600,0.499894,0.000008,3.841995e-02,2.184358e-02,6.427405e-05,-0.1921,-0.1092,-0.0008
0.03500,0.599552,0.499881,0.000009,3.668979e-02,2.096259e-02,1.711167e-05,-0.1834,-0.1048,-0.0002
0.03750,0.599503,0.499869,0.000010,3.422767e-02,1.995078e-02,5.846870e-05,-0.1711,-0.0998,-0.0007
0.04000,0.599451,0.499855,0.000011,3.265970e-02,1.918149e-02,2.331505e-05,-0.1633,-0.0959,-0.0003
0.04250,0.599397,0.499842,0.000013,3.085453e-02,1.836359e-02,5.432060e-05,-0.1543,-0.0918,-0.0007
0.04500,0.599342,0.499828,0.000014,2.946980e-02,1.766498e-02,2.826131e-05,-0.1473,-0.0883,-0.0004
0.04750,0.599285,0.499813,0.000015,2.804487e-02,1.697730e-02,5.145222e-05,-0.1402,-0.0849,-0.0006
0.05000,0.599226,0.499798,0.000016,2.684669e-02,1.637505e-02,3.200562e-05,-0.1342,-0.0819,-0.0004
0.05250,0.599165,0.499782,0.000017,2.568494e-02,1.581202e-02,4.922631e-05,-0.1284,-0.0791,-0.0006
0.05500,0.599103,0.499766,0.000019,2.466328e-02,1.531531e-02,3.463129e-05,-0.1233,-0.0766,-0.0004
0.05750,0.599038,0.499750,0.000020,2.369815e-02,1.485935e-02,4.737033e-05,-0.1185,-0.0743,-0.0006
0.06000,0.598972,0.499733,0.000021,2.282540e-02,1.445072e-02,3.639291e-05,-0.1141,-0.0723,-0.0005
0.06250,0.598905,0.499716,0.000023,2.200532e-02,1.407378e-02,4.580654e-05,-0.1100,-0.0704,-0.0006
0.06500,0.598835,0.499698,0.000024,2.124770e-02,1.372886e-02,3.753574e-05,-0.1062,-0.0686,-0.0005
0.06750,0.598764,0.499680,0.000026,2.053245e-02,1.340679e-02,4.446546e-05,-0.1027,-0.0670,-0.0006
0.07000,0.598692,0.499661,0.000028,1.986054e-02,1.310681e-02,3.819121e-05,-0.0993,-0.0655,-0.0005
0.07250,0.598617,0.499642,0.000029,1.922143e-02,1.282353e-02,4.323746e-05,-0.0961,-0.0641,-0.0005
0.07500,0.598542,0.499622,0.000031,1.861351e-02,1.255633e-02,3.839820e-05,-0.0931,-0.0628,-0.0005
0.07750,0.598464,0.499603,0.000033,1.803071e-02,1.230170e-02,4.196654e-05,-0.0902,-0.0615,-0.0005
0.08000,0.598385,0.499582,0.000034,1.747094e-02,1.205895e-02,3.812703e-05,-0.0874,-0.0603,-0.0005
0.08250,0.598305,0.499561,0.000036,1.693047e-02,1.182561e-02,4.052788e-05,-0.0847,-0.0591,-0.0005
0.08500,0.598222,0.499540,0.000038,1.640748e-02,1.160109e-02,3.737848e-05,-0.0820,-0.0580,-0.0005
0.08750,0.598139,0.499519,0.000040,1.589955e-02,1.138358e-02,3.885004e-05,-0.0795,-0.0569,-0.0005
0.09000,0.598053,0.499497,0.000042,1.540512e-02,1.117262e-02,3.615167e-05,-0.0770,-0.0559,-0.0005
0.09250,0.597967,0.499474,0.000044,1.492254e-02,1.096691e-02,3.687386e-05,-0.0746,-0.0548,-0.0005
0.09500,0.597878,0.499451,0.000046,1.445071e-02,1.076605e-02,3.446575e-05,-0.0723,-0.0538,-0.0004
0.09750,0.597789,0.499428,0.000048,1.398847e-02,1.056898e-02,3.458746e-05,-0.0699,-0.0528,-0.0004
0.10000,0.597697,0.499405,0.000050,1.353498e-02,1.037540e-02,3.234185e-05,-0.0677,-0.0519,-0.0004
0.10250,0.597605,0.499381,0.000052,1.308948e-02,1.018450e-02,3.194870e-05,-0.0654,-0.0509,-0.0004
0.10500,0.597511,0.499356,0.000054,1.265135e-02,9.996066e-03,2.973841e-05,-0.0633,-0.0500,-0.0004
0.10750,0.597415,0.499332,0.000056,1.222005e-02,9.809340e-03,2.886247e-05,-0.0611,-0.0490,-0.0004
0.11000,0.597318,0.499307,0.000059,1.179511e-02,9.624029e-03,2.659529e-05,-0.0590,-0.0481,-0.0003
0.11250,0.597219,0.499281,0.000061,1.137609e-02,9.439576e-03,2.530563e-05,-0.0569,-0.0472,-0.0003
0.11500,0.597119,0.499255,0.000063,1.096281e-02,9.255678e-03,2.296081e-05,-0.0548,-0.0463,-0.0003
0.11750,0.597018,0.499229,0.000066,1.055503e-02,9.071873e-03,2.130875e-05,-0.0528,-0.0454,-0.0003
0.12000,0.596915,0.499202,0.000068,1.015269e-02,8.887866e-03,1.882524e-05,-0.0508,-0.0444,-0.0002
0.12250,0.596811,0.499175,0.000071,9.755656e-03,8.703257e-03,1.682277e-05,-0.0488,-0.0435,-0.0002
0.12500,0.596705,0.499148,0.000073,9.363934e-03,8.517914e-03,1.417410e-05,-0.0468,-0.0426,-0.0002
0.12750,0.596598,0.499120,0.000076,8.977538e-03,8.331649e-03,1.188300e-05,-0.0449,-0.0417,-0.0001
0.13000,0.596489,0.499092,0.000078,8.596640e-03,8.144425e-03,9.152462e-06,-0.0430,-0.0407,-0.0001
0.13250,0.596380,0.499063,0.000081,8.221403e-03,7.955783e-03,6.745456e-06,-0.0411,-0.0398,-0.0001
0.13500,0.596268,0.499035,0.000083,7.852058e-03,7.765666e-03,4.056256e-06,-0.0393,-0.0388,-0.0001
0.13750,0.596156,0.499005,0.000086,7.488782e-03,7.573478e-03,1.597627e-06,-0.0374,-0.0379,-0.0000
0.14000,0.596042,0.498976,0.000088,7.132011e-03,7.379665e-03,-1.031771e-06,-0.0357,-0.0369,0.0000
0.14250,0.595926,0.498946,0.000091,6.782100e-03,7.184103e-03,-3.432768e-06,-0.0339,-0.0359,0.0000
0.14500,0.595809,0.498916,0.000094,6.439495e-03,6.987063e-03,-5.923604e-06,-0.0322,-0.0349,0.0001
0.14750,0.595691,0.498885,0.000096,6.104624e-03,6.788612e-03,-8.206569e-06,-0.0305,-0.0339,0.0001
0.15000,0.595572,0.498854,0.000099,5.777945e-03,6.588969e-03,-1.051693e-05,-0.0289,-0.0329,0.0001
0.15250,0.595451,0.498823,0.000101,5.460010e-03,6.388197e-03,-1.264670e-05,-0.0273,-0.0319,0.0002
0.15500,0.595328,0.498791,0.000104,5.151298e-03,6.186533e-03,-1.477423e-05,-0.0258,-0.0309,0.0002
0.15750,0.595205,0.498759,0.000107,4.852263e-03,5.984208e-03,-1.671560e-05,-0.0243,-0.0299,0.0002
0.16000,0.595080,0.498727,0.000109,4.563620e-03,5.781628e-03,-1.863014e-05,-0.0228,-0.0289,0.0002
0.16250,0.594954,0.498694,0.000112,4.285886e-03,5.578770e-03,-2.034200e-05,-0.0214,-0.0279,0.0003
0.16500,0.594826,0.498661,0.000115,4.019665e-03,5.375993e-03,-2.199429e-05,-0.0201,-0.0269,0.0003
0.16750,0.594697,0.498627,0.000117,3.765206e-03,5.173546e-03,-2.345322e-05,-0.0188,-0.0259,0.0003
0.17000,0.594567,0.498594,0.000120,3.523070e-03,4.971627e-03,-2.484625e-05,-0.0176,-0.0249,0.0003
0.17250,0.594435,0.498559,0.000122,3.293726e-03,4.770972e-03,-2.607759e-05,-0.0165,-0.0239,0.0003
0.17500,0.594302,0.498525,0.000125,3.077644e-03,4.571843e-03,-2.723724e-05,-0.0154,-0.0229,0.0003
0.17750,0.594168,0.498490,0.000127,2.875058e-03,4.374946e-03,-2.826206e-05,-0.0144,-0.0219,0.0004
0.18000,0.594032,0.498455,0.000130,2.686295e-03,4.180759e-03,-2.920367e-05,-0.0134,-0.0209,0.0004
0.18250,0.593896,0.498420,0.000132,2.511993e-03,3.990425e-03,-2.998327e-05,-0.0126,-0.0200,0.0004
0.18500,0.593757,0.498384,0.000135,2.352586e-03,3.804568e-03,-3.065281e-05,-0.0118,-0.0190,0.0004
0.18750,0.593618,0.498348,0.000137,2.208410e-03,3.623841e-03,-3.117018e-05,-0.0110,-0.0181,0.0004
