t,cx,cy,disp_max,disp_rms,det_min,volume,Fx,Fy,p_L2,u_L2
0.00250,0.600000,0.500000,0.000000e+00,0.000000e+00,1.000000e+00,1.255740e-01,-5.565710e-23,0.000000e+00,4.040552e-01,2.915589e-03
0.00500,0.599996,0.499999,7.119766e-06,4.598862e-06,9.999910e-01,1.255740e-01,4.139368e-02,1.124483e-02,4.392328e-01,5.398797e-03
0.00750,0.599986,0.499996,2.451772e-05,1.552489e-05,9.999700e-01,1.255740e-01,5.670514e-02,1.557002e-02,2.965604e-01,6.873391e-03
0.01000,0.599971,0.499992,5.221339e-05,3.253880e-05,9.999324e-01,1.255740e-01,5.437037e-02,1.509551e-02,2.107201e-01,8.113452e-03
0.01250,0.599951,0.499986,8.928997e-05,5.498990e-05,9.998847e-01,1.255740e-01,4.844898e-02,1.358653e-02,1.595225e-01,9.171896e-03
0.01500,0.599927,0.499980,1.347594e-04,8.223623e-05,9.998302e-01,1.255740e-01,4.265868e-02,1.206067e-02,1.281741e-01,1.011122e-02
0.01750,0.599898,0.499972,1.876647e-04,1.137473e-04,9.997711e-01,1.255740e-01,3.788950e-02,1.077862e-02,1.076610e-01,1.096037e-02
0.02000,0.599867,0.499963,2.472534e-04,1.491053e-04,9.996935e-01,1.255740e-01,3.414221e-02,9.755443e-03,9.343760e-02,1.173938e-02
0.02250,0.599832,0.499953,3.129259e-04,1.879845e-04,9.995946e-01,1.255740e-01,3.122160e-02,8.947317e-03,8.306241e-02,1.246164e-02
0.02500,0.599795,0.499943,3.842038e-04,2.301280e-04,9.994860e-01,1.255740e-01,2.892463e-02,8.304205e-03,7.517819e-02,1.313683e-02
0.02750,0.599755,0.499932,4.607013e-04,2.753303e-04,9.993695e-01,1.255740e-01,2.708828e-02,7.784462e-03,6.898521e-02,1.377215e-02
0.03000,0.599712,0.499920,5.421016e-04,3.234235e-04,9.992462e-01,1.255740e-01,2.559195e-02,7.356605e-03,6.398918e-02,1.437317e-02
0.03250,0.599667,0.499907,6.281402e-04,3.742680e-04,9.991173e-01,1.255740e-01,2.434922e-02,6.997728e-03,5.987028e-02,1.494424e-02
0.03500,0.599619,0.499893,7.185924e-04,4.277456e-04,9.989833e-01,1.255739e-01,2.329867e-02,6.691362e-03,5.641332e-02,1.548889e-02
0.03750,0.599569,0.499879,8.132643e-04,4.837544e-04,9.988452e-01,1.255739e-01,2.239645e-02,6.425655e-03,5.346847e-02,1.601000e-02
0.04000,0.599517,0.499865,9.119862e-04,5.422057e-04,9.987033e-01,1.255739e-01,2.161092e-02,6.191995e-03,5.092824e-02,1.650996e-02
0.04250,0.599463,0.499850,1.014608e-03,6.030210e-04,9.985581e-01,1.255739e-01,2.091889e-02,5.984046e-03,4.871350e-02,1.699078e-02
0.04500,0.599407,0.499834,1.120996e-03,6.661304e-04,9.984100e-01,1.255739e-01,2.030306e-02,5.797064e-03,4.676472e-02,1.745419e-02
0.04750,0.599349,0.499817,1.231029e-03,7.314709e-04,9.982592e-01,1.255739e-01,1.975031e-02,5.627442e-03,4.503618e-02,1.790165e-02
0.05000,0.599289,0.499800,1.344597e-03,7.989857e-04,9.981061e-01,1.255738e-01,1.925047e-02,5.472386e-03,4.349218e-02,1.833443e-02
0.05250,0.599227,0.499783,1.461600e-03,8.686225e-04,9.979509e-01,1.255738e-01,1.879558e-02,5.329700e-03,4.210443e-02,1.875366e-02
0.05500,0.599164,0.499765,1.581945e-03,9.403338e-04,9.977937e-01,1.255738e-01,1.837926e-02,5.197630e-03,4.085020e-02,1.916031e-02
0.05750,0.599098,0.499746,1.705548e-03,1.014076e-03,9.976348e-01,1.255738e-01,1.799636e-02,5.074752e-03,3.971099e-02,1.955525e-02
0.06000,0.599031,0.499727,1.832328e-03,1.089807e-03,9.974742e-01,1.255737e-01,1.764265e-02,4.959902e-03,3.867161e-02,1.993925e-02
0.06250,0.598962,0.499708,1.962212e-03,1.167490e-03,9.973120e-01,1.255737e-01,1.731461e-02,4.852111e-03,3.771945e-02,2.031301e-02
0.06500,0.598892,0.499688,2.095131e-03,1.247090e-03,9.971485e-01,1.255737e-01,1.700932e-02,4.750571e-03,3.684397e-02,2.067714e-02
0.06750,0.598819,0.499668,2.231019e-03,1.328573e-03,9.969837e-01,1.255736e-01,1.672428e-02,4.654595e-03,3.603626e-02,2.103220e-02
0.07000,0.598745,0.499647,2.369817e-03,1.411908e-03,9.968176e-01,1.255736e-01,1.645738e-02,4.563599e-03,3.528876e-02,2.137870e-02
0.07250,0.598670,0.499625,2.511466e-03,1.497067e-03,9.966503e-01,1.255736e-01,1.620681e-02,4.477079e-03,3.459499e-02,2.171711e-02
0.07500,0.598593,0.499604,2.655912e-03,1.584020e-03,9.964820e-01,1.255735e-01,1.597099e-02,4.394601e-03,3.394939e-02,2.204785e-02
0.07750,0.598514,0.499581,2.803102e-03,1.672743e-03,9.963127e-01,1.255735e-01,1.574856e-02,4.315787e-03,3.334714e-02,2.237129e-02
0.08000,0.598434,0.499559,2.952987e-03,1.763211e-03,9.961423e-01,1.255735e-01,1.553832e-02,4.240306e-03,3.278405e-02,2.268781e-02
0.08250,0.598352,0.499536,3.105522e-03,1.855400e-03,9.959710e-01,1.255734e-01,1.533921e-02,4.167867e-03,3.225645e-02,2.299772e-02
0.08500,0.598269,0.499512,3.260661e-03,1.949287e-03,9.957989e-01,1.255734e-01,1.515032e-02,4.098212e-03,3.176112e-02,2.330133e-02
0.08750,0.598184,0.499489,3.418361e-03,2.044851e-03,9.956259e-01,1.255734e-01,1.497080e-02,4.031110e-03,3.129523e-02,2.359891e-02
0.09000,0.598098,0.499464,3.578582e-03,2.142072e-03,9.954520e-01,1.255733e-01,1.479992e-02,3.966358e-03,3.085627e-02,2.389073e-02
0.09250,0.598010,0.499440,3.741284e-03,2.240931e-03,9.952774e-01,1.255733e-01,1.463704e-02,3.903774e-03,3.044199e-02,2.417703e-02
0.09500,0.597921,0.499415,3.906430e-03,2.341408e-03,9.951021e-01,1.255732e-01,1.448155e-02,3.843192e-03,3.005042e-02,2.445803e-02
0.09750,0.597830,0.499389,4.073984e-03,2.443486e-03,9.949260e-01,1.255732e-01,1.433294e-02,3.784467e-03,2.967977e-02,2.473394e-02
0.10000,0.597738,0.499364,4.243909e-03,2.547148e-03,9.947492e-01,1.255732e-01,1.419073e-02,3.727464e-03,2.932844e-02,2.500496e-02
0.10250,0.597645,0.499338,4.416174e-03,2.652376e-03,9.945718e-01,1.255731e-01,1.405447e-02,3.672063e-03,2.899500e-02,2.527127e-02
0.10500,0.597550,0.499311,4.590745e-03,2.759156e-03,9.943937e-01,1.255731e-01,1.392376e-02,3.618152e-03,2.867815e-02,2.553305e-02
0.10750,0.597454,0.499284,4.767591e-03,2.867471e-03,9.942150e-01,1.255730e-01,1.379826e-02,3.565630e-03,2.837670e-02,2.579046e-02
0.11000,0.597356,0.499257,4.946681e-03,2.977308e-03,9.940357e-01,1.255730e-01,1.367762e-02,3.514405e-03,2.808960e-02,2.604364e-02
0.11250,0.597257,0.499230,5.127986e-03,3.088650e-03,9.938558e-01,1.255730e-01,1.356155e-02,3.464391e-03,2.781588e-02,2.629275e-02
0.11500,0.597157,0.499202,5.311477e-03,3.201486e-03,9.936752e-01,1.255729e-01,1.344977e-02,3.415512e-03,2.755465e-02,2.653792e-02
0.11750,0.597055,0.499174,5.497126e-03,3.315801e-03,9.934941e-01,1.255729e-01,1.334202e-02,3.367700e-03,2.730511e-02,2.677928e-02
0.12000,0.596953,0.499145,5.684905e-03,3.431582e-03,9.933124e-01,1.255728e-01,1.323807e-02,3.320886e-03,2.706652e-02,2.701696e-02
0.12250,0.596848,0.499116,5.874789e-03,3.548817e-03,9.931302e-01,1.255728e-01,1.313769e-02,3.275014e-03,2.683820e-02,2.725105e-02
0.12500,0.596743,0.499087,6.066750e-03,3.667493e-03,9.929475e-01,1.255728e-01,1.304069e-02,3.230032e-03,2.661952e-02,2.748169e-02
0.12750,0.596636,0.499057,6.260763e-03,3.787599e-03,9.927643e-01,1.255727e-01,1.294687e-02,3.185890e-03,2.640993e-02,2.770896e-02
0.13000,0.596528,0.499028,6.456803e-03,3.909123e-03,9.925806e-01,1.255727e-01,1.285608e-02,3.142542e-03,2.620888e-02,2.793298e-02
0.13250,0.596419,0.498998,6.654846e-03,4.032055e-03,9.923964e-01,1.255726e-01,1.276815e-02,3.099941e-03,2.601589e-02,2.815382e-02
0.13500,0.596308,0.498967,6.854867e-03,4.156382e-03,9.922118e-01,1.255726e-01,1.268292e-02,3.058046e-03,2.583052e-02,2.837159e-02
0.13750,0.596196,0.498936,7.056844e-03,4.282094e-03,9.920268e-01,1.255726e-01,1.260027e-02,3.016811e-03,2.565233e-02,2.858637e-02
0.14000,0.596083,0.498905,7.260753e-03,4.409182e-03,9.918414e-01,1.255725e-01,1.252004e-02,2.976205e-03,2.548095e-02,2.879824e-02
0.14250,0.595969,0.498874,7.466571e-03,4.537634e-03,9.916557e-01,1.255725e-01,1.244211e-02,2.936200e-03,2.531601e-02,2.900728e-02
0.14500,0.595853,0.498843,7.674275e-03,4.667442e-03,9.914696e-01,1.255725e-01,1.236638e-02,2.896770e-03,2.515719e-02,2.921355e-02
