t,cx,cy,disp_max,disp_rms,det_min,volume,Fx,Fy,p_L2,u_L2
0.00250,0.600000,0.500000,0.000000e+00,0.000000e+00,1.000000e+00,1.255740e-01,-5.387766e-22,0.000000e+00,4.168442e-01,3.168442e-03
0.00500,0.599996,0.499999,7.235770e-06,4.673254e-06,9.999909e-01,1.255740e-01,4.206043e-02,1.142954e-02,4.241355e-01,5.381768e-03
0.00750,0.599986,0.499996,2.463581e-05,1.557953e-05,9.999719e-01,1.255740e-01,5.583831e-02,1.533544e-02,2.949310e-01,6.896313e-03
0.01000,0.599971,0.499992,5.228562e-05,3.253547e-05,9.999378e-01,1.255740e-01,5.401558e-02,1.499640e-02,2.104648e-01,8.139134e-03
0.01250,0.599951,0.499987,8.932197e-05,5.492328e-05,9.998937e-01,1.255740e-01,4.839044e-02,1.356776e-02,1.596137e-01,9.201262e-03
0.01500,0.599927,0.499980,1.347710e-04,8.211504e-05,9.998425e-01,1.255740e-01,4.272693e-02,1.207749e-02,1.281993e-01,1.014131e-02
0.01750,0.599899,0.499972,1.876858e-04,1.135838e-04,9.997713e-01,1.255740e-01,3.799139e-02,1.080574e-02,1.076236e-01,1.099084e-02
0.02000,0.599867,0.499963,2.473127e-04,1.489116e-04,9.996830e-01,1.255740e-01,3.424227e-02,9.782844e-03,9.335038e-02,1.176996e-02
0.02250,0.599833,0.499954,3.130485e-04,1.877707e-04,9.995833e-01,1.255740e-01,3.130816e-02,8.971474e-03,8.294316e-02,1.249225e-02
0.02500,0.599795,0.499943,3.844112e-04,2.299026e-04,9.994742e-01,1.255740e-01,2.899596e-02,8.324404e-03,7.503789e-02,1.316742e-02
0.02750,0.599755,0.499932,4.610119e-04,2.751001e-04,9.993571e-01,1.255740e-01,2.714604e-02,7.801017e-03,6.883113e-02,1.380272e-02
0.03000,0.599712,0.499920,5.425313e-04,3.231942e-04,9.992334e-01,1.255740e-01,2.563867e-02,7.370131e-03,6.382590e-02,1.440370e-02
0.03250,0.599667,0.499907,6.287030e-04,3.740442e-04,9.991039e-01,1.255739e-01,2.438730e-02,7.008848e-03,5.970077e-02,1.497473e-02
0.03500,0.599619,0.499894,7.193010e-04,4.275310e-04,9.989696e-01,1.255739e-01,2.333010e-02,6.700610e-03,5.623954e-02,1.551935e-02
0.03750,0.599570,0.499880,8.141304e-04,4.835522e-04,9.988310e-01,1.255739e-01,2.242277e-02,6.433452e-03,5.329171e-02,1.604042e-02
0.04000,0.599518,0.499865,9.130208e-04,5.420187e-04,9.986887e-01,1.255739e-01,2.163329e-02,6.198666e-03,5.074939e-02,1.654035e-02
0.04250,0.599464,0.499850,1.015822e-03,6.028517e-04,9.985430e-01,1.255739e-01,2.093818e-02,5.989834e-03,4.853318e-02,1.702115e-02
0.04500,0.599407,0.499834,1.122398e-03,6.659808e-04,9.983944e-01,1.255739e-01,2.031992e-02,5.802151e-03,4.658334e-02,1.748453e-02
0.04750,0.599349,0.499817,1.232630e-03,7.313431e-04,9.982431e-01,1.255738e-01,1.976521e-02,5.631965e-03,4.485404e-02,1.793196e-02
0.05000,0.599289,0.499800,1.346405e-03,7.988812e-04,9.980895e-01,1.255738e-01,1.926379e-02,5.476449e-03,4.330950e-02,1.836472e-02
0.05250,0.599228,0.499783,1.463624e-03,8.685431e-04,9.979336e-01,1.255738e-01,1.880758e-02,5.333382e-03,4.192137e-02,1.878393e-02
0.05500,0.599164,0.499765,1.584194e-03,9.402808e-04,9.977758e-01,1.255738e-01,1.839016e-02,5.200992e-03,4.066687e-02,1.919056e-02
0.05750,0.599099,0.499746,1.708030e-03,1.014050e-03,9.976161e-01,1.255737e-01,1.800632e-02,5.077843e-03,3.952747e-02,1.958548e-02
0.06000,0.599031,0.499727,1.835051e-03,1.089811e-03,9.974548e-01,1.255737e-01,1.765180e-02,4.962760e-03,3.848797e-02,1.996946e-02
0.06250,0.598962,0.499708,1.965185e-03,1.167524e-03,9.972918e-01,1.255737e-01,1.732307e-02,4.854769e-03,3.753574e-02,2.034320e-02
0.06500,0.598892,0.499688,2.098361e-03,1.247155e-03,9.971275e-01,1.255736e-01,1.701718e-02,4.753055e-03,3.666022e-02,2.070731e-02
0.06750,0.598819,0.499668,2.234515e-03,1.328671e-03,9.969617e-01,1.255736e-01,1.673162e-02,4.656926e-03,3.585251e-02,2.106236e-02
0.07000,0.598745,0.499647,2.373585e-03,1.412039e-03,9.967947e-01,1.255736e-01,1.646426e-02,4.565795e-03,3.510501e-02,2.140885e-02
0.07250,0.598670,0.499625,2.515514e-03,1.497232e-03,9.966265e-01,1.255735e-01,1.621327e-02,4.479157e-03,3.441128e-02,2.174725e-02
0.07500,0.598593,0.499604,2.660248e-03,1.584221e-03,9.964572e-01,1.255735e-01,1.597709e-02,4.396574e-03,3.376572e-02,2.207797e-02
0.07750,0.598514,0.499581,2.807734e-03,1.672980e-03,9.962868e-01,1.255735e-01,1.575432e-02,4.317665e-03,3.316352e-02,2.240141e-02
0.08000,0.598434,0.499559,2.957922e-03,1.763485e-03,9.961154e-01,1.255734e-01,1.554377e-02,4.242099e-03,3.260048e-02,2.271792e-02
0.08250,0.598352,0.499536,3.110767e-03,1.855711e-03,9.959431e-01,1.255734e-01,1.534439e-02,4.169581e-03,3.207294e-02,2.302782e-02
0.08500,0.598269,0.499512,3.266224e-03,1.949637e-03,9.957698e-01,1.255734e-01,1.515524e-02,4.099855e-03,3.157768e-02,2.333142e-02
0.08750,0.598184,0.499489,3.424248e-03,2.045240e-03,9.955957e-01,1.255733e-01,1.497550e-02,4.032689e-03,3.111186e-02,2.362899e-02
0.09000,0.598097,0.499464,3.584801e-03,2.142501e-03,9.954208e-01,1.255733e-01,1.480442e-02,3.967880e-03,3.067297e-02,2.392080e-02
0.09250,0.598010,0.499440,3.747841e-03,2.241400e-03,9.952450e-01,1.255733e-01,1.464135e-02,3.905245e-03,3.025877e-02,2.420709e-02
0.09500,0.597921,0.499415,3.913331e-03,2.341919e-03,9.950685e-01,1.255732e-01,1.448570e-02,3.844620e-03,2.986727e-02,2.448808e-02
0.09750,0.597830,0.499389,4.081235e-03,2.444039e-03,9.948913e-01,1.255732e-01,1.433693e-02,3.785855e-03,2.949670e-02,2.476399e-02
0.10000,0.597738,0.499364,4.251517e-03,2.547743e-03,9.947134e-01,1.255731e-01,1.419456e-02,3.728819e-03,2.914544e-02,2.503500e-02
0.10250,0.597644,0.499337,4.424144e-03,2.653015e-03,9.945349e-01,1.255731e-01,1.405816e-02,3.673389e-03,2.881207e-02,2.530131e-02
0.10500,0.597550,0.499311,4.599082e-03,2.759838e-03,9.943557e-01,1.255731e-01,1.392732e-02,3.619456e-03,2.849529e-02,2.556308e-02
0.10750,0.597453,0.499284,4.776301e-03,2.868198e-03,9.941759e-01,1.255730e-01,1.380170e-02,3.566918e-03,2.819392e-02,2.582048e-02
0.11000,0.597356,0.499257,4.955768e-03,2.978079e-03,9.939955e-01,1.255730e-01,1.368094e-02,3.515684e-03,2.790689e-02,2.607366e-02
0.11250,0.597257,0.499229,5.137455e-03,3.089467e-03,9.938145e-01,1.255729e-01,1.356476e-02,3.465671e-03,2.763324e-02,2.632276e-02
0.11500,0.597157,0.499202,5.321333e-03,3.202349e-03,9.936330e-01,1.255729e-01,1.345288e-02,3.416800e-03,2.737208e-02,2.656793e-02
0.11750,0.597055,0.499173,5.507372e-03,3.316710e-03,9.934509e-01,1.255728e-01,1.334503e-02,3.369001e-03,2.712261e-02,2.680928e-02
0.12000,0.596952,0.499145,5.695547e-03,3.432539e-03,9.932683e-01,1.255728e-01,1.324099e-02,3.322206e-03,2.688408e-02,2.704695e-02
0.12250,0.596848,0.499116,5.885830e-03,3.549821e-03,9.930853e-01,1.255728e-01,1.314053e-02,3.276355e-03,2.665583e-02,2.728104e-02
0.12500,0.596742,0.499087,6.078194e-03,3.668546e-03,9.929018e-01,1.255727e-01,1.304345e-02,3.231390e-03,2.643722e-02,2.751167e-02
0.12750,0.596636,0.499057,6.272615e-03,3.788701e-03,9.927178e-01,1.255727e-01,1.294956e-02,3.187260e-03,2.622769e-02,2.773894e-02
0.13000,0.596528,0.499028,6.469068e-03,3.910274e-03,9.925335e-01,1.255726e-01,1.285870e-02,3.143915e-03,2.602670e-02,2.796294e-02
0.13250,0.596418,0.498997,6.667528e-03,4.033255e-03,9.923487e-01,1.255726e-01,1.277070e-02,3.101311e-03,2.583378e-02,2.818379e-02
0.13500,0.596308,0.498967,6.867971e-03,4.157632e-03,9.921636e-01,1.255726e-01,1.268541e-02,3.059406e-03,2.564846e-02,2.840155e-02
0.13750,0.596196,0.498936,7.070373e-03,4.283395e-03,9.919782e-01,1.255725e-01,1.260268e-02,3.018161e-03,2.547033e-02,2.861632e-02
0.14000,0.596083,0.498905,7.274712e-03,4.410534e-03,9.917924e-01,1.255725e-01,1.252238e-02,2.977542e-03,2.529901e-02,2.882818e-02
0.14250,0.595968,0.498874,7.480964e-03,4.539038e-03,9.916063e-01,1.255725e-01,1.244439e-02,2.937516e-03,2.513413e-02,2.903721e-02
0.14500,0.595853,0.498842,7.689106e-03,4.668897e-03,9.914199e-01,1.255724e-01,1.236859e-02,2.898055e-03,2.497535e-02,2.924349e-02
0.14750,0.595736,0.498810,7.899118e-03,4.800103e-03,9.912332e-01,1.255724e-01,1.229487e-02,2.859131e-03,2.482237e-02,2.944707e-02
0.15000,0.595618,0.498778,8.110975e-03,4.932644e-03,9.910463e-01,1.255724e-01,1.222312e-02,2.820716e-03,2.467489e-02,2.964804e-02
0.15250,0.595499,0.498746,8.324658e-03,5.066513e-03,9.908592e-01,1.255723e-01,1.215326e-02,2.782786e-03,2.453265e-02,2.984646e-02
0.15500,0.595378,0.498713,8.540143e-03,5.201699e-03,9.906718e-01,1.255723e-01,1.208519e-02,2.745315e-03,2.439538e-02,3.004239e-02
0.15750,0.595257,0.498680,8.757412e-03,5.338195e-03,9.904843e-01,1.255723e-01,1.201883e-02,2.708280e-03,2.426285e-02,3.023589e-02
