t,cx,cy,disp_max,disp_rms,det_min,volume,Fx,Fy,p_L2,u_L2
0.00250,0.600000,0.500000,0.000000e+00,0.000000e+00,1.000000e+00,1.255740e-01,-5.387766e-22,0.000000e+00,4.168442e-01,3.168442e-03
0.00500,0.600000,0.500000,6.989878e-07,4.455550e-07,9.999998e-01,1.255740e-01,8.011510e-02,2.177055e-02,4.387513e-01,5.380288e-03
0.00750,0.599999,0.500000,2.680665e-06,1.631175e-06,9.999962e-01,1.255740e-01,1.320021e-01,3.624788e-02,3.245522e-01,6.891257e-03
0.01000,0.599997,0.499999,6.360802e-06,3.702385e-06,9.999848e-01,1.255740e-01,1.566655e-01,4.349040e-02,2.491997e-01,8.129024e-03
0.01250,0.599994,0.499998,1.202656e-05,6.726405e-06,9.999657e-01,1.255740e-01,1.671815e-01,4.690065e-02,2.025095e-01,9.185278e-03
0.01500,0.599990,0.499997,1.987632e-05,1.072905e-05,9.999404e-01,1.255740e-01,1.703091e-01,4.824771e-02,1.721690e-01,1.011906e-02
0.01750,0.599986,0.499996,3.009217e-05,1.571379e-05,9.999110e-01,1.255740e-01,1.695240e-01,4.845564e-02,1.509174e-01,1.096218e-02
0.02000,0.599981,0.499995,4.276863e-05,2.167183e-05,9.998803e-01,1.255740e-01,1.666606e-01,4.802260e-02,1.350558e-01,1.173486e-02
0.02250,0.599975,0.499993,5.796005e-05,2.858773e-05,9.998508e-01,1.255740e-01,1.627395e-01,4.723348e-02,1.226453e-01,1.245071e-02
0.02500,0.599968,0.499991,7.570274e-05,3.644270e-05,9.998227e-01,1.255740e-01,1.583491e-01,4.625783e-02,1.126078e-01,1.311945e-02
0.02750,0.599960,0.499989,9.601250e-05,4.521649e-05,9.997900e-01,1.255740e-01,1.538336e-01,4.519884e-02,1.042982e-01,1.374831e-02
0.03000,0.599952,0.499986,1.188896e-04,5.488858e-05,9.997594e-01,1.255740e-01,1.493933e-01,4.411967e-02,9.730138e-02,1.434280e-02
0.03250,0.599942,0.499984,1.443228e-04,6.543884e-05,9.997318e-01,1.255740e-01,1.451412e-01,4.305854e-02,9.133337e-02,1.490728e-02
0.03500,0.599932,0.499981,1.722919e-04,7.684795e-05,9.997081e-01,1.255740e-01,1.411363e-01,4.203785e-02,8.619007e-02,1.544524e-02
0.03750,0.599922,0.499978,2.027705e-04,8.909758e-05,9.996819e-01,1.255740e-01,1.374044e-01,4.106988e-02,8.171915e-02,1.595954e-02
0.04000,0.599911,0.499975,2.357273e-04,1.021705e-04,9.996581e-01,1.255740e-01,1.339512e-01,4.016043e-02,7.780363e-02,1.645254e-02
0.04250,0.599899,0.499971,2.711280e-04,1.160505e-04,9.996367e-01,1.255740e-01,1.307698e-01,3.931117e-02,7.435180e-02,1.692625e-02
0.04500,0.599886,0.499967,3.089360e-04,1.307225e-04,9.995995e-01,1.255740e-01,1.278467e-01,3.852123e-02,7.129053e-02,1.738236e-02
0.04750,0.599873,0.499964,3.491131e-04,1.461727e-04,9.995628e-01,1.255740e-01,1.251647e-01,3.778822e-02,6.856076e-02,1.782232e-02
0.05000,0.599859,0.499959,3.916207e-04,1.623878e-04,9.995266e-01,1.255740e-01,1.227052e-01,3.710888e-02,6.611430e-02,1.824741e-02
0.05250,0.599844,0.499955,4.364196e-04,1.793557e-04,9.994913e-01,1.255740e-01,1.204491e-01,3.647952e-02,6.391146e-02,1.865872e-02
0.05500,0.599829,0.499951,4.834709e-04,1.970652e-04,9.994569e-01,1.255740e-01,1.183783e-01,3.589636e-02,6.191932e-02,1.905724e-02
0.05750,0.599813,0.499946,5.327361e-04,2.155057e-04,9.994237e-01,1.255740e-01,1.164756e-01,3.535562e-02,6.011035e-02,1.944382e-02
0.06000,0.599797,0.499941,5.841772e-04,2.346675e-04,9.993917e-01,1.255740e-01,1.147250e-01,3.485372e-02,5.846144e-02,1.981922e-02
0.06250,0.599780,0.499936,6.377571e-04,2.545413e-04,9.993303e-01,1.255740e-01,1.131120e-01,3.438727e-02,5.695304e-02,2.018415e-02
