t,cx,cy,disp_max,disp_rms,det_min,volume,Fx,Fy,p_L2,u_L2
0.00250,0.600000,0.500000,0.000000e+00,0.000000e+00,1.000000e+00,1.255740e-01,-5.387766e-22,0.000000e+00,4.168442e-01,3.168442e-03
0.00500,0.599996,0.499999,7.235770e-06,4.673254e-06,9.999909e-01,1.255740e-01,4.206043e-02,1.142954e-02,4.241355e-01,5.381768e-03
0.00750,0.599986,0.499996,2.463924e-05,1.557971e-05,9.999720e-01,1.255740e-01,5.583831e-02,1.533544e-02,2.949310e-01,6.896313e-03
0.01000,0.599971,0.499992,5.230531e-05,3.253652e-05,9.999381e-01,1.255740e-01,5.401558e-02,1.499640e-02,2.104645e-01,8.139134e-03
0.01250,0.599951,0.499987,8.938501e-05,5.492655e-05,9.998944e-01,1.255740e-01,4.839037e-02,1.356772e-02,1.596130e-01,9.201263e-03
0.01500,0.599927,0.499980,1.349183e-04,8.212262e-05,9.998438e-01,1.255740e-01,4.272663e-02,1.207735e-02,1.281981e-01,1.014131e-02
0.01750,0.599899,0.499972,1.879723e-04,1.135985e-04,9.997791e-01,1.255740e-01,3.799071e-02,1.080543e-02,1.076218e-01,1.099084e-02
0.02000,0.599867,0.499963,2.478057e-04,1.489367e-04,9.996951e-01,1.255740e-01,3.424102e-02,9.782286e-03,9.334778e-02,1.176997e-02
0.02250,0.599833,0.499954,3.138265e-04,1.878102e-04,9.996006e-01,1.255740e-01,3.130622e-02,8.970603e-03,8.293968e-02,1.249226e-02
0.02500,0.599795,0.499943,3.855625e-04,2.299610e-04,9.994977e-01,1.255740e-01,2.899320e-02,8.323161e-03,7.503345e-02,1.316745e-02
0.02750,0.599755,0.499932,4.626333e-04,2.751824e-04,9.993878e-01,1.255740e-01,2.714239e-02,7.799349e-03,6.882565e-02,1.380275e-02
0.03000,0.599712,0.499920,5.447277e-04,3.233058e-04,9.992722e-01,1.255740e-01,2.563405e-02,7.367995e-03,6.381932e-02,1.440374e-02
0.03250,0.599667,0.499907,6.315867e-04,3.741909e-04,9.991519e-01,1.255739e-01,2.438167e-02,7.006207e-03,5.969304e-02,1.497479e-02
0.03500,0.599619,0.499894,7.229909e-04,4.277192e-04,9.990277e-01,1.255739e-01,2.332342e-02,6.697432e-03,5.623062e-02,1.551943e-02
0.03750,0.599569,0.499879,8.187517e-04,4.837888e-04,9.989004e-01,1.255739e-01,2.241503e-02,6.429710e-03,5.328156e-02,1.604052e-02
0.04000,0.599518,0.499865,9.187050e-04,5.423107e-04,9.987704e-01,1.255739e-01,2.162449e-02,6.194337e-03,5.073796e-02,1.654048e-02
0.04250,0.599463,0.499850,1.022706e-03,6.032067e-04,9.986383e-01,1.255739e-01,2.092831e-02,5.984895e-03,4.852043e-02,1.702131e-02
0.04500,0.599407,0.499834,1.130625e-03,6.664069e-04,9.985044e-01,1.255738e-01,2.030898e-02,5.796585e-03,4.656925e-02,1.748472e-02
0.04750,0.599349,0.499817,1.242347e-03,7.318487e-04,9.983691e-01,1.255738e-01,1.975321e-02,5.625754e-03,4.483857e-02,1.793219e-02
0.05000,0.599289,0.499800,1.357766e-03,7.994753e-04,9.982327e-01,1.255738e-01,1.925072e-02,5.469577e-03,4.329262e-02,1.836500e-02
0.05250,0.599228,0.499783,1.476786e-03,8.692349e-04,9.980953e-01,1.255738e-01,1.879347e-02,5.325834e-03,4.190305e-02,1.878426e-02
0.05500,0.599164,0.499765,1.599320e-03,9.410801e-04,9.979573e-01,1.255737e-01,1.837501e-02,5.192753e-03,4.064707e-02,1.919095e-02
0.05750,0.599098,0.499746,1.725287e-03,1.014967e-03,9.978187e-01,1.255737e-01,1.799014e-02,5.068900e-03,3.950617e-02,1.958593e-02
0.06000,0.599031,0.499727,1.854613e-03,1.090856e-03,9.976798e-01,1.255737e-01,1.763461e-02,4.953100e-03,3.846514e-02,1.996999e-02
0.06250,0.598962,0.499708,1.987226e-03,1.168709e-03,9.975407e-01,1.255736e-01,1.730488e-02,4.844379e-03,3.751134e-02,2.034381e-02
0.06500,0.598892,0.499688,2.123063e-03,1.248491e-03,9.974015e-01,1.255736e-01,1.699800e-02,4.741922e-03,3.663423e-02,2.070801e-02
0.06750,0.598819,0.499668,2.262062e-03,1.330169e-03,9.972622e-01,1.255736e-01,1.671146e-02,4.645038e-03,3.582489e-02,2.106315e-02
0.07000,0.598745,0.499647,2.404167e-03,1.413712e-03,9.971230e-01,1.255735e-01,1.644314e-02,4.553140e-03,3.507574e-02,2.140975e-02
0.07250,0.598670,0.499625,2.549324e-03,1.499093e-03,9.969840e-01,1.255735e-01,1.619120e-02,4.465723e-03,3.438032e-02,2.174826e-02
0.07500,0.598593,0.499604,2.697482e-03,1.586283e-03,9.968452e-01,1.255735e-01,1.595407e-02,4.382349e-03,3.373305e-02,2.207911e-02
0.07750,0.598514,0.499581,2.848593e-03,1.675257e-03,9.967066e-01,1.255734e-01,1.573038e-02,4.302639e-03,3.312910e-02,2.240268e-02
0.08000,0.598434,0.499559,3.002612e-03,1.765991e-03,9.965684e-01,1.255734e-01,1.551891e-02,4.226258e-03,3.256430e-02,2.271932e-02
0.08250,0.598352,0.499536,3.159495e-03,1.858461e-03,9.964305e-01,1.255733e-01,1.531862e-02,4.152916e-03,3.203496e-02,2.302938e-02
0.08500,0.598268,0.499512,3.319202e-03,1.952645e-03,9.962930e-01,1.255733e-01,1.512858e-02,4.082354e-03,3.153787e-02,2.333314e-02
0.08750,0.598184,0.499489,3.481693e-03,2.048523e-03,9.961558e-01,1.255732e-01,1.494795e-02,4.014341e-03,3.107019e-02,2.363089e-02
0.09000,0.598097,0.499464,3.646930e-03,2.146074e-03,9.960191e-01,1.255732e-01,1.477599e-02,3.948673e-03,3.062941e-02,2.392289e-02
0.09250,0.598010,0.499440,3.814878e-03,2.245281e-03,9.958829e-01,1.255731e-01,1.461206e-02,3.885168e-03,3.021330e-02,2.420938e-02
0.09500,0.597920,0.499415,3.985502e-03,2.346123e-03,9.957471e-01,1.255731e-01,1.445555e-02,3.823661e-03,2.981986e-02,2.449059e-02
0.09750,0.597830,0.499389,4.158770e-03,2.448584e-03,9.956117e-01,1.255730e-01,1.430593e-02,3.764005e-03,2.944731e-02,2.476672e-02
0.10000,0.597738,0.499364,4.334648e-03,2.552647e-03,9.954768e-01,1.255729e-01,1.416273e-02,3.706064e-03,2.909405e-02,2.503797e-02
0.10250,0.597644,0.499338,4.513107e-03,2.658297e-03,9.953424e-01,1.255729e-01,1.402549e-02,3.649718e-03,2.875866e-02,2.530453e-02
0.10500,0.597550,0.499311,4.694116e-03,2.765517e-03,9.952085e-01,1.255728e-01,1.389383e-02,3.594857e-03,2.843982e-02,2.556657e-02
0.10750,0.597453,0.499284,4.877648e-03,2.874292e-03,9.950750e-01,1.255728e-01,1.376739e-02,3.541379e-03,2.813636e-02,2.582425e-02
0.11000,0.597356,0.499257,5.063675e-03,2.984609e-03,9.949419e-01,1.255727e-01,1.364583e-02,3.489193e-03,2.784722e-02,2.607773e-02
0.11250,0.597257,0.499230,5.252169e-03,3.096453e-03,9.948094e-01,1.255726e-01,1.352884e-02,3.438216e-03,2.757143e-02,2.632714e-02
0.11500,0.597157,0.499202,5.443106e-03,3.209811e-03,9.946772e-01,1.255726e-01,1.341616e-02,3.388369e-03,2.730810e-02,2.657264e-02
0.11750,0.597055,0.499174,5.636459e-03,3.324670e-03,9.945455e-01,1.255725e-01,1.330752e-02,3.339581e-03,2.705644e-02,2.681434e-02
0.12000,0.596952,0.499145,5.832204e-03,3.441018e-03,9.944143e-01,1.255724e-01,1.320269e-02,3.291786e-03,2.681569e-02,2.705237e-02
0.12250,0.596848,0.499116,6.030317e-03,3.558842e-03,9.942834e-01,1.255723e-01,1.310145e-02,3.244922e-03,2.658518e-02,2.728684e-02
0.12500,0.596743,0.499087,6.230775e-03,3.678131e-03,9.941530e-01,1.255723e-01,1.300360e-02,3.198933e-03,2.636430e-02,2.751787e-02
0.12750,0.596636,0.499058,6.433555e-03,3.798874e-03,9.940230e-01,1.255722e-01,1.290895e-02,3.153768e-03,2.615246e-02,2.774555e-02
0.13000,0.596528,0.499028,6.638636e-03,3.921059e-03,9.938935e-01,1.255721e-01,1.281732e-02,3.109377e-03,2.594914e-02,2.796999e-02
0.13250,0.596419,0.498998,6.845994e-03,4.044675e-03,9.937643e-01,1.255720e-01,1.272855e-02,3.065716e-03,2.575386e-02,2.819129e-02
0.13500,0.596308,0.498968,7.055609e-03,4.169712e-03,9.936355e-01,1.255719e-01,1.264250e-02,3.022744e-03,2.556615e-02,2.840952e-02
0.13750,0.596196,0.498937,7.267459e-03,4.296160e-03,9.935071e-01,1.255719e-01,1.255901e-02,2.980422e-03,2.538561e-02,2.862478e-02
0.14000,0.596083,0.498906,7.481524e-03,4.424010e-03,9.933791e-01,1.255718e-01,1.247796e-02,2.938714e-03,2.521185e-02,2.883716e-02
0.14250,0.595969,0.498875,7.697783e-03,4.553250e-03,9.932515e-01,1.255717e-01,1.239922e-02,2.897588e-03,2.504450e-02,2.904672e-02
0.14500,0.595853,0.498843,7.916217e-03,4.683873e-03,9.931242e-01,1.255716e-01,1.232268e-02,2.857015e-03,2.488324e-02,2.925354e-02
0.14750,0.595737,0.498812,8.136804e-03,4.815868e-03,9.929972e-01,1.255715e-01,1.224821e-02,2.816966e-03,2.472774e-02,2.945770e-02
0.15000,0.595619,0.498780,8.359527e-03,4.949227e-03,9.928707e-01,1.255714e-01,1.217573e-02,2.777415e-03,2.457771e-02,2.965926e-02
0.15250,0.595499,0.498747,8.584364e-03,5.083942e-03,9.927444e-01,1.255713e-01,1.210513e-02,2.738335e-03,2.443290e-02,2.985830e-02
0.15500,0.595379,0.498715,8.811298e-03,5.220002e-03,9.926185e-01,1.255712e-01,1.203633e-02,2.699701e-03,2.429303e-02,3.005486e-02
0.15750,0.595258,0.498682,9.040309e-03,5.357401e-03,9.924929e-01,1.255711e-01,1.196923e-02,2.661490e-03,2.415788e-02,3.024902e-02
