t,cx,cy,disp_max,disp_rms,det_min,volume,Fx,Fy,p_L2,u_L2
0.00250,0.600000,0.500000,0.000000e+00,0.000000e+00,1.000000e+00,1.255740e-01,0.000000e+00,0.000000e+00,4.168442e-01,3.168442e-03
0.00500,0.600000,0.500000,0.000000e+00,0.000000e+00,1.000000e+00,1.255740e-01,0.000000e+00,0.000000e+00,4.085522e-01,5.383494e-03
0.00750,0.600000,0.500000,0.000000e+00,0.000000e+00,1.000000e+00,1.255740e-01,0.000000e+00,0.000000e+00,2.735063e-01,6.901053e-03
0.01000,0.600000,0.500000,0.000000e+00,0.000000e+00,1.000000e+00,1.255740e-01,0.000000e+00,0.000000e+00,1.905534e-01,8.147219e-03
0.01250,0.600000,0.500000,0.000000e+00,0.000000e+00,1.000000e+00,1.255740e-01,0.000000e+00,0.000000e+00,1.430469e-01,9.212664e-03
0.01500,0.600000,0.500000,0.000000e+00,0.000000e+00,1.000000e+00,1.255740e-01,0.000000e+00,0.000000e+00,1.147326e-01,1.015593e-02
0.01750,0.600000,0.500000,0.000000e+00,0.000000e+00,1.000000e+00,1.255740e-01,0.000000e+00,0.000000e+00,9.658209e-02,1.100860e-02
0.02000,0.600000,0.500000,0.000000e+00,0.000000e+00,1.000000e+00,1.255740e-01,0.000000e+00,0.000000e+00,8.411516e-02,1.179083e-02
0.02250,0.600000,0.500000,0.000000e+00,0.000000e+00,1.000000e+00,1.255740e-01,0.000000e+00,0.000000e+00,7.504439e-02,1.251622e-02
0.02500,0.600000,0.500000,0.000000e+00,0.000000e+00,1.000000e+00,1.255740e-01,0.000000e+00,0.000000e+00,6.813951e-02,1.319451e-02
0.02750,0.600000,0.500000,0.000000e+00,0.000000e+00,1.000000e+00,1.255740e-01,0.000000e+00,0.000000e+00,6.269647e-02,1.383296e-02
0.03000,0.600000,0.500000,0.000000e+00,0.000000e+00,1.000000e+00,1.255740e-01,0.000000e+00,0.000000e+00,5.828756e-02,1.443712e-02
0.03250,0.600000,0.500000,0.000000e+00,0.000000e+00,1.000000e+00,1.255740e-01,0.000000e+00,0.000000e+00,5.463861e-02,1.501140e-02
0.03500,0.600000,0.500000,0.000000e+00,0.000000e+00,1.000000e+00,1.255740e-01,0.000000e+00,0.000000e+00,5.156565e-02,1.555930e-02
0.03750,0.600000,0.500000,0.000000e+00,0.000000e+00,1.000000e+00,1.255740e-01,0.000000e+00,0.000000e+00,4.894035e-02,1.608371e-02
0.04000,0.600000,0.500000,0.000000e+00,0.000000e+00,1.000000e+00,1.255740e-01,0.000000e+00,0.000000e+00,4.667032e-02,1.658704e-02
0.04250,0.600000,0.500000,0.000000e+00,0.000000e+00,1.000000e+00,1.255740e-01,0.000000e+00,0.000000e+00,4.468723e-02,1.707128e-02
0.04500,0.600000,0.500000,0.000000e+00,0.000000e+00,1.000000e+00,1.255740e-01,0.000000e+00,0.000000e+00,4.293936e-02,1.753817e-02
0.04750,0.600000,0.500000,0.000000e+00,0.000000e+00,1.000000e+00,1.255740e-01,0.000000e+00,0.000000e+00,4.138686e-02,1.798916e-02
0.05000,0.600000,0.500000,0.000000e+00,0.000000e+00,1.000000e+00,1.255740e-01,0.000000e+00,0.000000e+00,3.999845e-02,1.842554e-02
0.05250,0.600000,0.500000,0.000000e+00,0.000000e+00,1.000000e+00,1.255740e-01,0.000000e+00,0.000000e+00,3.874925e-02,1.884842e-02
0.05500,0.600000,0.500000,0.000000e+00,0.000000e+00,1.000000e+00,1.255740e-01,0.000000e+00,0.000000e+00,3.761921e-02,1.925878e-02
0.05750,0.600000,0.500000,0.000000e+00,0.000000e+00,1.000000e+00,1.255740e-01,0.000000e+00,0.000000e+00,3.659197e-02,1.965749e-02
0.06000,0.600000,0.500000,0.000000e+00,0.000000e+00,1.000000e+00,1.255740e-01,0.000000e+00,0.000000e+00,3.565406e-02,2.004533e-02
0.06250,0.600000,0.500000,0.000000e+00,0.000000e+00,1.000000e+00,1.255740e-01,0.000000e+00,0.000000e+00,3.479427e-02,2.042297e-02
0.06500,0.600000,0.500000,0.000000e+00,0.000000e+00,1.000000e+00,1.255740e-01,0.000000e+00,0.000000e+00,3.400323e-02,2.079104e-02
0.06750,0.600000,0.500000,0.000000e+00,0.000000e+00,1.000000e+00,1.255740e-01,0.000000e+00,0.000000e+00,3.327299e-02,2.115011e-02
0.07000,0.600000,0.500000,0.000000e+00,0.000000e+00,1.000000e+00,1.255740e-01,0.000000e+00,0.000000e+00,3.259681e-02,2.150068e-02
0.07250,0.600000,0.500000,0.000000e+00,0.000000e+00,1.000000e+00,1.255740e-01,0.000000e+00,0.000000e+00,3.196890e-02,2.184321e-02
0.07500,0.600000,0.500000,0.000000e+00,0.000000e+00,1.000000e+00,1.255740e-01,0.000000e+00,0.000000e+00,3.138428e-02,2.217813e-02
0.07750,0.600000,0.500000,0.000000e+00,0.000000e+00,1.000000e+00,1.255740e-01,0.000000e+00,0.000000e+00,3.083864e-02,2.250582e-02
0.08000,0.600000,0.500000,0.000000e+00,0.000000e+00,1.000000e+00,1.255740e-01,0.000000e+00,0.000000e+00,3.032822e-02,2.282664e-02
0.08250,0.600000,0.500000,0.000000e+00,0.000000e+00,1.000000e+00,1.255740e-01,0.000000e+00,0.000000e+00,2.984974e-02,2.314091e-02
0.08500,0.600000,0.500000,0.000000e+00,0.000000e+00,1.000000e+00,1.255740e-01,0.000000e+00,0.000000e+00,2.940031e-02,2.344894e-02
0.08750,0.600000,0.500000,0.000000e+00,0.000000e+00,1.000000e+00,1.255740e-01,0.000000e+00,0.000000e+00,2.897739e-02,2.375101e-02
0.09000,0.600000,0.500000,0.000000e+00,0.000000e+00,1.000000e+00,1.255740e-01,0.000000e+00,0.000000e+00,2.857870e-02,2.404738e-02
0.09250,0.600000,0.500000,0.000000e+00,0.000000e+00,1.000000e+00,1.255740e-01,0.000000e+00,0.000000e+00,2.820226e-02,2.433828e-02
0.09500,0.600000,0.500000,0.000000e+00,0.000000e+00,1.000000e+00,1.255740e-01,0.000000e+00,0.000000e+00,2.784627e-02,2.462394e-02
0.09750,0.600000,0.500000,0.000000e+00,0.000000e+00,1.000000e+00,1.255740e-01,0.000000e+00,0.000000e+00,2.750913e-02,2.490458e-02
0.10000,0.600000,0.500000,0.000000e+00,0.000000e+00,1.000000e+00,1.255740e-01,0.000000e+00,0.000000e+00,2.718940e-02,2.518039e-02
0.10250,0.600000,0.500000,0.000000e+00,0.000000e+00,1.000000e+00,1.255740e-01,0.000000e+00,0.000000e+00,2.688579e-02,2.545155e-02
0.10500,0.600000,0.500000,0.000000e+00,0.000000e+00,1.000000e+00,1.255740e-01,0.000000e+00,0.000000e+00,2.659713e-02,2.571824e-02
0.10750,0.600000,0.500000,0.000000e+00,0.000000e+00,1.000000e+00,1.255740e-01,0.000000e+00,0.000000e+00,2.632235e-02,2.598062e-02
0.11000,0.600000,0.500000,0.000000e+00,0.000000e+00,1.000000e+00,1.255740e-01,0.000000e+00,0.000000e+00,2.606051e-02,2.623884e-02
0.11250,0.600000,0.500000,0.000000e+00,0.000000e+00,1.000000e+00,1.255740e-01,0.000000e+00,0.000000e+00,2.581072e-02,2.649304e-02
0.11500,0.600000,0.500000,0.000000e+00,0.000000e+00,1.000000e+00,1.255740e-01,0.000000e+00,0.000000e+00,2.557219e-02,2.674337e-02
0.11750,0.600000,0.500000,0.000000e+00,0.000000e+00,1.000000e+00,1.255740e-01,0.000000e+00,0.000000e+00,2.534420e-02,2.698995e-02
0.12000,0.600000,0.500000,0.000000e+00,0.000000e+00,1.000000e+00,1.255740e-01,0.000000e+00,0.000000e+00,2.512608e-02,2.723290e-02
0.12250,0.600000,0.500000,0.000000e+00,0.000000e+00,1.000000e+00,1.255740e-01,0.000000e+00,0.000000e+00,2.491722e-02,2.747234e-02
