time,u_norm,p_norm,solid_force_norm,volume
0,0.0074196494,0.56173723,0.029593674,0.033479753
0.05,0.013625205,0.014835506,0.029553236,0.033479847
0.1,0.018110902,0.01004157,0.029486126,0.033479886
0.15,0.021460568,0.0081880252,0.029399309,0.033479904
0.2,0.024114775,0.0072330265,0.029296292,0.033479911
0.25,0.026309728,0.0066705237,0.029179389,0.033479919
0.3,0.02818028,0.0063117853,0.029050342,0.033479935
0.35,0.029808273,0.0060712508,0.028910571,0.033479973
0.4,0.031246641,0.005904881,0.028761306,0.033480046
0.45,0.032531656,0.0057878043,0.028603646,0.033480164
0.5,0.033689429,0.0057049292,0.028438612,0.033480333
0.55,0.034739541,0.0056465641,0.028267161,0.033480548
0.6,0.03569718,0.0056061953,0.028090211,0.033480791
0.65,0.036574458,0.0055792835,0.027908649,0.033481039
0.7,0.037381257,0.0055625713,0.027723334,0.033481276
0.75,0.038125794,0.0055536641,0.027535103,0.0334815
0.8,0.038815011,0.0055507666,0.027344772,0.033481732
0.85,0.039454842,0.0055525106,0.027153131,0.033482009
0.9,0.040050416,0.0055578389,0.02696095,0.033482382
0.95,0.040606186,0.0055659407,0.026768971,0.033482899
0.995,0.041075567,0.0055750708,0.026596958,0.033483499
