time,u_norm,p_norm,solid_force_norm,volume,p_ext.value
0,0,0,5229255.228,319.925,0.0
0.05,0.2725134575,5865.642527,5229253.095,319.9273125,25.0
0.1,2.896894377,24115.73365,5229238.718,319.927757,50.0
0.15,11.57617607,59743.97519,5229200.289,319.9167886,74.99999999999999
0.2,28.9648871,132697.0439,5229123.789,319.89917,100.0
0.25,49.08472438,222755.1274,5228997.704,319.8713879,97.22222222222221
0.3,62.30000391,411018.5633,5228825.519,319.8394354,94.44444444444444
0.35,69.78838677,729762.7522,5228620.231,319.812169,91.66666666666666
0.4,77.39748242,1161731.866,5228409.19,319.7865535,88.88888888888889
0.45,90.82079312,1622640.574,5228236.84,319.7716219,86.11111111111111
0.5,111.2811452,1951394.375,5228152.558,319.7644768,83.33333333333334
0.55,135.2531579,1988693.237,5228197.945,319.7651958,80.55555555555556
0.6,159.0929874,1710941.6,5228390.268,319.7751033,77.77777777777779
0.65,181.162541,1327018.61,5228710.385,319.7831361,75.0
0.7,201.422898,1127185.953,5229109.416,319.7918367,72.22222222222221
0.75,223.5225545,1343043.857,5229531.56,319.8076816,69.44444444444444
0.8,256.1497309,2215160.977,5229933.612,319.8398292,66.66666666666666
0.85,315.4599536,4398241.287,5230301.969,319.8973576,63.888888888888886
0.9,425.6054412,9628829.031,5230659.03,319.9849686,61.111111111111114
0.95,645.7782919,21787287.73,5231060.166,320.0925934,58.333333333333336
0.99995,1108.029235,49763433.87,5231581.049,320.2251475,55.55833333333333
