step,time_s,plate_max_displacement_mm,plate_max_axial_displacement_mm,plate_force_x_N,max_marker_displacement_mm,max_speed,max_divergence
1,0.00025000000000000001,0,0,0,0,0,0
2,0.00050000000000000001,4.905079675765478e-08,4.905079675765478e-08,0,4.9059839271048044e-08,1.9623935686580151e-07,1.3696913996204221e-13
3,0.00075000000000000002,5.2817074047695201e-07,5.2817074047695201e-07,-3.1361948181382821e-06,5.2817074047695201e-07,1.9164797635475472e-06,1.0915983496943711e-12
4,0.001,2.1196623456454233e-06,2.1196623456454233e-06,-3.3027782956908963e-05,2.1196623456454233e-06,6.3659664517723247e-06,2.1724814811038284e-12
5,0.00125,5.6750365073909848e-06,5.6750365073909848e-06,-0.00012635464759897544,5.6750365073909848e-06,1.4221496647507714e-05,3.2425629779200554e-12
6,0.0015,1.2068142152266148e-05,1.2068142152266148e-05,-0.00031694583171361335,1.2068142152266148e-05,2.5572422643888279e-05,4.3017044561151531e-12
7,0.00175,2.2071326299943905e-05,2.2071326299943905e-05,-0.00062201337357926099,2.2071326299943905e-05,4.0012736611951396e-05,5.3498710838449739e-12
8,0.002,3.6279577309006335e-05,3.6279577309006328e-05,-0.0010370596456121203,3.6279577309006335e-05,5.6833004092957977e-05,6.3870623668942704e-12
9,0.0022500000000000003,5.5087605876913442e-05,5.5087605876913415e-05,-0.0015419303714181262,5.5087605876913442e-05,7.523211423527944e-05,7.413279602336937e-12
10,0.0025000000000000001,7.8706172812470648e-05,7.8706172812470498e-05,-0.0021152202787494672,7.8706172812470648e-05,9.4474267779839363e-05,8.4285225102876246e-12
11,0.0027499999999999998,0.00010719401563053008,0.00010719401563052955,-0.0027502155727144087,0.00010719401563053008,0.00011395137130464824,9.4327906780548469e-12
12,0.0030000000000000001,0.00014048357244167599,0.0001404835724416742,-0.0034646790994246352,0.00014048357244167599,0.00013315822718961196,1.0426085070418373e-11
13,0.0032499999999999999,0.00017839008906728694,0.00017839008906728182,-0.0042995168995431689,0.00017839008906728694,0.00015380731277986847,1.1408404382062836e-11
14,0.0035000000000000001,0.00022060823501314443,0.00022060823501313109,-0.0053065036459211045,0.00022060823501314443,0.00017544162542278046,1.2379749992262341e-11
15,0.0037499999999999999,0.00026918177926687413,0.00026918177926660292,-0.0065304432561048486,0.00026918177926687413,0.00019693580741572453,1.3340122566049508e-11
16,0.0040000000000000001,0.00032364914018868463,0.0003236491401881203,-0.007993976472269286,0.00032364914018868463,0.00021883659450897352,1.4289522914544788e-11
17,0.0042500000000000003,0.00038314972121809105,0.00038314972121700208,-0.0096923351523827139,0.00038314972121809105,0.00024754472388532932,1.522795234636829e-11
18,0.0045000000000000005,0.00044749810803797717,0.0004474981080360152,-0.011600996235915652,0.00044749810803797717,0.00027728807126142292,1.6155411462506898e-11
19,0.0047499999999999999,0.000516598016700996,0.00051659801669767802,-0.013693310195245821,0.000516598016700996,0.00030879764819395563,1.7071902255183889e-11
20,0.0050000000000000001,0.00059451683868067624,0.00059451683865896499,-0.015960427677717319,0.00059451683868067624,0.00034312546878038431,1.7977426512535166e-11
21,0.0052499999999999995,0.00068982175261675773,0.00068982175258636147,-0.018424435963104831,0.00068982175261675773,0.00038121965579526057,1.8871985755474769e-11
22,0.0054999999999999988,0.00079569457876534999,0.00079569457872574745,-0.021138305161898602,0.00079569457876534999,0.00042349130466034775,1.9755581476525148e-11
23,0.0057499999999999982,0.00091308642092063214,0.00091308642087284397,-0.024171936318669322,0.00091308642092063214,0.00046956736866608496,2.0628214429360289e-11
24,0.0059999999999999975,0.0010426746777510408,0.001042674677698141,-0.027589827824113251,0.0010426746777510408,0.00051835302731469016,2.1489886820500774e-11
25,0.0062499999999999977,0.0011847741538034793,0.0011847741537507339,-0.031429845625511273,0.0011847741538034793,0.00056839790427176825,2.2340599197683727e-11
26,0.0064999999999999971,0.0013393813651631401,0.0013393813651174646,-0.035692450360616038,0.0013393813651631401,0.00061842884546605206,2.3180352078990964e-11
27,0.0067499999999999965,0.0015063401270981706,0.0015063401270665189,-0.040345446449898049,0.0015063401270981706,0.0006678350477774275,2.400914871841155e-11
