step,time_s,plate_max_displacement_mm,plate_max_axial_displacement_mm,plate_force_x_N,max_marker_displacement_mm,max_speed,max_divergence
1,0.00025000000000000001,4.9049231343190058e-08,4.9049231343190058e-08,0,4.904923342485823e-08,1.9619693223639971e-07,7.6306979159256874e-21
2,0.00050000000000000001,5.2816820916845586e-07,5.2816820916845586e-07,-3.1360947291477422e-06,5.2816820916845586e-07,1.9164759074730465e-06,6.1715168430658423e-20
3,0.00075000000000000002,2.1197375521531114e-06,2.1197375521531114e-06,-3.302762194371797e-05,2.1197375521531114e-06,6.3662773277164018e-06,1.1256186330624392e-19
4,0.001,5.6753462596148552e-06,5.6753462596148552e-06,-0.00012635926120516594,5.6753462596148552e-06,1.4222434859257555e-05,6.1748971352378596e-15
5,0.00125,1.2068895216543751e-05,1.2068895216543751e-05,-0.00031696337402945749,1.2068895216543751e-05,2.5574195852416465e-05,4.1446429609648793e-14
6,0.0015,2.2072747962731398e-05,2.2072747962731398e-05,-0.00062205167431994253,2.2072747962731398e-05,4.0015411043676014e-05,2.4010095053293226e-13
7,0.00175,3.6281870341436935e-05,3.6281870341436928e-05,-0.0010371230728539434,3.6281870341436935e-05,5.6836489579221079e-05,8.1240821857076399e-13
8,0.002,5.5090912765010143e-05,5.5090912765010103e-05,-0.0015420188506371898,5.5090912765010143e-05,7.5236169672922857e-05,2.0029534529279371e-12
9,0.0022500000000000003,7.8710543549576236e-05,7.8710543549576073e-05,-0.0021153310561463396,7.8710543549576236e-05,9.4478523163293746e-05,3.9457228532198711e-12
10,0.0025000000000000001,0.00010719938446923707,0.00010719938446923649,-0.0027503469064830855,0.00010719938446923707,0.00011395536363823839,6.4647119706073888e-12
11,0.0027499999999999998,0.00014048974503744386,0.00014048974503744205,-0.0034648340185804848,0.00014048974503744386,0.00013316144225824605,9.1713439293487747e-12
12,0.0030000000000000001,0.0001783967426449757,0.00017839674264497063,-0.0042997050733149626,0.0001783967426449757,0.00015381136185311459,1.2174481708347479e-11
13,0.0032499999999999999,0.00022061493225590434,0.00022061493225589146,-0.0053067402346012732,0.00022061493225590434,0.00017544489726304579,1.5807169897380377e-11
14,0.0035000000000000001,0.0002691910023891033,0.00026919100238886884,-0.0065307452394418146,0.0002691910023891033,0.00019693809264011245,2.0985766856191619e-11
15,0.0037499999999999999,0.00032365865727571817,0.00032365865727523868,-0.0079943580863365959,0.00032365865727571817,0.00021884464528943332,1.3643123923168333e-11
16,0.0040000000000000001,0.00038315925122802276,0.00038315925122711647,-0.009692805076380805,0.00038315925122802276,0.00024755352451936221,4.0223534811082485e-11
17,0.0042500000000000003,0.00044750738881376405,0.00044750738881216279,-0.011601557910748747,0.00044750738881376405,0.00027729789595438953,5.5672055897945265e-11
