step,time_s,plate_max_displacement_mm,plate_max_axial_displacement_mm,plate_force_x_N,max_marker_displacement_mm,max_speed,max_divergence
1,0.00025000000000000001,0,0,0,0,0,0
2,0.00050000000000000001,4.905079675765478e-08,4.905079675765478e-08,0,4.9059839271048044e-08,1.9623935686580151e-07,1.3696913996204221e-13
3,0.00075000000000000002,5.2817074047695201e-07,5.2817074047695201e-07,-3.1361948181382821e-06,5.2817074047695201e-07,1.9164797635234936e-06,1.0915983281402779e-12
4,0.001,2.1196623456454233e-06,2.1196623456454233e-06,-3.3027782956908963e-05,2.1196623456454233e-06,6.3659664490791089e-06,2.1724814855155526e-12
5,0.00125,5.6750365073909848e-06,5.6750365073909848e-06,-0.00012635464759897544,5.6750365073909848e-06,1.4221496606257501e-05,3.2425630004583796e-12
6,0.0015,1.2068142085652767e-05,1.2068142085652767e-05,-0.00031694583107992407,1.2068142085652767e-05,2.5572422360753849e-05,4.3017043216872497e-12
7,0.00175,2.2071325933570307e-05,2.2071325933570307e-05,-0.00062201336865928478,2.2071325933570307e-05,4.0012735359240855e-05,5.3498707713984024e-12
8,0.002,3.6279575943432008e-05,3.6279575943432008e-05,-0.0010370596224459131,3.6279575943432008e-05,5.6832999987940422e-05,6.387061949342534e-12
9,0.0022500000000000003,5.5087601780190454e-05,5.5087601780190454e-05,-0.0015419302919695468,5.5087601780190454e-05,7.5232103295380334e-05,7.4132783833713295e-12
10,0.0025000000000000001,7.8706162420782988e-05,7.8706162420782988e-05,-0.0021152200640044525,7.8706162420782988e-05,9.447424251100885e-05,8.4285200100703881e-12
11,0.0027499999999999998,0.00010719399191616574,0.00010719399191616574,-0.0027502150901600785,0.00010719399191616574,0.00011395131800329646,9.4327868221848948e-12
12,0.0030000000000000001,0.00014048352188211774,0.00014048352188211766,-0.0034646781658085346,0.00014048352188211774,0.0001331581199065092,1.0426077452631075e-11
13,0.0032499999999999999,0.00017838998714880849,0.00017838998714880816,-0.0042995153207999797,0.00017838998714880849,0.00015380721029988891,1.1408391765005538e-11
14,0.0035000000000000001,0.0002206080398026177,0.00022060803980261667,-0.0053065013275384347,0.0002206080398026177,0.0001754414502361627,1.2379729774180262e-11
15,0.0037499999999999999,0.00026918160690450144,0.00026918160690447834,-0.0065304403775068619,0.00026918160690450144,0.00019693551872803153,1.334009151623325e-11
16,0.0040000000000000001,0.00032364885385056453,0.00032364885385050002,-0.0079939737162326458,0.00032364885385056453,0.00021883691777770792,1.4289477810379642e-11
17,0.0042500000000000003,0.00038314926225096471,0.0003831492622508037,-0.0096923339653691865,0.00038314926225096471,0.00024754529640998141,1.5227888174296682e-11
18,0.0045000000000000005,0.0004474973969385307,0.00044749739693816792,-0.011600999109035606,0.0004474973969385307,0.00027728902698098711,1.6155323351390871e-11
19,0.0047499999999999999,0.00051659686112278975,0.00051659686112204284,-0.013693320987653563,0.00051659686112278975,0.00030879898012949703,1.7071783163437652e-11
20,0.0050000000000000001,0.00059451811227430134,0.00059451811227351214,-0.015960451406636843,0.00059451811227430134,0.00034312713458925005,1.7977268151132527e-11
21,0.0052499999999999995,0.00068982350482019931,0.00068982350481805454,-0.018424479122201701,0.00068982350482019931,0.0003812215701533656,1.887177692099704e-11
22,0.0054999999999999988,0.00079569683679133548,0.00079569683678615277,-0.021138376237041057,0.00079569683679133548,0.00042349332794767237,1.9755310893418931e-11
23,0.0057499999999999982,0.00091308916219153533,0.00091308916218002523,-0.024172046427479027,0.00091308916219153533,0.00046956930162594111,2.0627868346927518e-11
24,0.0059999999999999975,0.0010426778119816229,0.0010426778119576596,-0.027589991373218586,0.0010426778119816229,0.0005183545992014897,2.1489449332973649e-11
25,0.0062499999999999977,0.001184777518739716,0.0011847775186923926,-0.031430080702473252,0.001184777518739716,0.00056839882705736727,2.2340053676556844e-11
26,0.0064999999999999971,0.0013393847342784357,0.0013393847341891529,-0.03569277920262072,0.0013393847342784357,0.0006184288623155321,2.317968004096508e-11
27,0.0067499999999999965,0.0015063432287805345,0.0015063432286188672,-0.040345896038316904,0.0015063432287805345,0.00066783397822797177,2.4008330092424627e-11
