step,time_s,plate_max_displacement_mm,plate_max_axial_displacement_mm,plate_force_x_N,max_marker_displacement_mm,max_speed,max_divergence
1,0.00025000000000000001,4.9049231343190058e-08,4.9049231343190058e-08,0,4.904923342485823e-08,1.9619693223639971e-07,7.6306979159256874e-21
2,0.00050000000000000001,5.2816820916845586e-07,5.2816820916845586e-07,-3.1360947291477422e-06,5.2816820916845586e-07,1.9164759074730465e-06,6.171693848708667e-20
3,0.00075000000000000002,2.1197375521531114e-06,2.1197375521531114e-06,-3.302762194371797e-05,2.1197375521531114e-06,6.3662773277066948e-06,9.8021391711655605e-20
4,0.001,5.6753462596148552e-06,5.6753462596148552e-06,-0.00012635926120516594,5.6753462596148552e-06,1.4222434857772083e-05,1.7972029961614978e-19
5,0.00125,1.2068895216543751e-05,1.2068895216543751e-05,-0.00031696337402945749,1.2068895216543751e-05,2.5574195844921541e-05,1.4031106273456606e-14
6,0.0015,2.2072747962731398e-05,2.2072747962731398e-05,-0.00062205167415568157,2.2072747962731398e-05,4.0015411047130051e-05,1.7447872534343405e-14
7,0.00175,3.6281870374743619e-05,3.6281870374743619e-05,-0.0010371230719822509,3.6281870374743619e-05,5.6836489704447833e-05,2.0819877962583352e-14
8,0.002,5.5090912931543556e-05,5.5090912931543556e-05,-0.0015420188477354643,5.5090912931543556e-05,7.5236170268830945e-05,2.4146997980277033e-14
9,0.0022500000000000003,7.8710544282323269e-05,7.8710544282323269e-05,-0.0021153310498978482,7.8710544282323269e-05,9.4478525409179718e-05,2.7430504836646117e-14
10,0.0025000000000000001,0.00010719938643433126,0.00010719938643433125,-0.0027503468977412167,0.00010719938643433126,0.0001139553686018155,3.0671538245957904e-14
11,0.0027499999999999998,0.00014048974906755171,0.00014048974906755163,-0.0034648340201461156,0.00014048974906755171,0.00013316145057196054,3.3868452640494805e-14
12,0.0030000000000000001,0.00017839674847364183,0.00017839674847364151,-0.0042997051092940773,0.00017839674847364183,0.00015381139975563989,3.7017460364846679e-14
13,0.0032499999999999999,0.00022061493455405415,0.00022061493455405312,-0.0053067403833353035,0.00022061493455405415,0.00017544494063652659,4.01129037701518e-14
14,0.0035000000000000001,0.00026919104022529272,0.00026919104022526952,-0.0065307456272069705,0.00026919104022529272,0.00019693812413609579,4.3150125536320554e-14
15,0.0037499999999999999,0.0003236586950783974,0.00032365869507833267,-0.0079943590038195934,0.0003236586950783974,0.00021884482913905344,4.612629738018895e-14
16,0.0040000000000000001,0.00038315927344284047,0.00038315927344267919,-0.0096928069369910021,0.00038315927344284047,0.00024755377516862468,4.9040553697297347e-14
17,0.0042500000000000003,0.00044750737009416607,0.00044750737009380259,-0.011601561445455119,0.00044750737009416607,0.00027729824798877523,5.1895091677542609e-14
18,0.0045000000000000005,0.00051660663194027959,0.00051660663193953127,-0.013693972213193694,0.00051660663194027959,0.00030880924330220413,5.4692799852092189e-14
19,0.0047499999999999999,0.00059454198144760935,0.00059454198144681669,-0.01596119470093537,0.00059454198144760935,0.00034313879409858723,5.7437341524024823e-14
20,0.0050000000000000001,0.0006898507100915757,0.00068985071008942356,-0.018425326391955019,0.0006898507100915757,0.00038123491455299263,6.0130724759692149e-14
21,0.0052499999999999995,0.00079572782450374596,0.00079572782449854884,-0.021139349790199588,0.00079572782450374596,0.00042350845765909569,6.2775073270575575e-14
22,0.0054999999999999988,0.0009131243394859738,0.00091312433947443594,-0.024173175996689944,0.0009131243394859738,0.0004695860599018178,6.5370770816328477e-14
23,0.0057499999999999982,0.0010427174886769356,0.0010427174886529222,-0.027591307358556406,0.0010427174886769356,0.00051837259681179152,6.791779041695417e-14
24,0.0059999999999999975,0.0011848218796880522,0.0011848218796406407,-0.031431606402908485,0.0011848218796880522,0.00056841756406921277,7.0416907618201248e-14
25,0.0062499999999999977,0.0013394338565848071,0.0013394338564953756,-0.035694525527272293,0.0013394338565848071,0.00061844790779010692,7.286950936378798e-14
26,0.0064999999999999971,0.0015063971413884901,0.0015063971412265786,-0.040347861325645579,0.0015063971413884901,0.0006678531394965514,7.5277697812769841e-14
27,0.0067499999999999965,0.0016856276693281266,0.0016856276690457861,-0.045345445769632967,0.0016856276693281266,0.0007169221121406847,7.7643431769602518e-14
28,0.0069999999999999958,0.0018773103328634595,0.0018773103323876938,-0.050652060845556637,0.0018773103328634595,0.00076673065475888933,7.9969081317131658e-14
29,0.0072499999999999952,0.0020819912271320723,0.0020819912263547735,-0.056263978413170233,0.0020819912271320723,0.00082512605098005495,8.225718404507638e-14
30,0.0074999999999999945,0.0023005316338285202,0.0023005316325930281,-0.062216217804706424,0.0023005316338285202,0.00089170296675200491,8.4509854183640608e-14
31,0.0077499999999999947,0.0025339463747126225,0.0025339463727958034,-0.068573220604349894,0.0025339463747126225,0.00096368758617515807,8.6727912970678359e-14
32,0.0079999999999999932,0.0027831953334136921,0.0027831953305024193,-0.075406771663652339,0.0027831953334136921,0.0010402516433025868,8.8912881645466328e-14
33,0.0082499999999999934,0.0030490133525052773,0.0030490133481664294,-0.082770550850142885,0.0030490133525052773,0.0011196360891737203,9.1065765417684124e-14
34,0.0084999999999999937,0.0033318437569544966,0.0033318437505980292,-0.090682235508755163,0.0033318437569544966,0.0011998768615632625,9.3186593781632888e-14
35,0.0087499999999999922,0.0036318936130931628,0.0036318936039281269,-0.099120877434395432,0.0036318936130931628,0.0012796037163262507,9.527619839997467e-14
36,0.0089999999999999924,0.0039492753956365612,0.003949275382619799,-0.10804070325675409,0.0039492753956365612,0.0013585663497448915,9.7336018051944663e-14
37,0.0092499999999999909,0.0042841634177276135,0.0042841633995038819,-0.11739537630186406,0.0042841634177276135,0.0014376626903064751,9.9366447215189731e-14
