t,native_diff,off_diff,central_diff
0.000250,0.000000,0.000000,0.000000
0.005250,0.000106,0.000106,0.000106
0.010250,0.000446,0.000446,0.000446
0.015250,0.000940,0.000938,0.000938
0.020250,0.001315,0.001342,0.001342
0.025250,0.001122,0.001373,0.001373
0.030250,0.002501,0.002135,0.002133
0.035250,0.003336,0.002306,0.002308
0.040250,0.019964,0.003480,0.003382
0.045250,0.029290,0.003049,0.002804
0.050250,0.034570,0.002922,0.002483
0.055250,0.038119,0.003559,0.003077
0.060250,0.006816,0.004471,0.006596
0.065250,0.003331,0.005072,
0.070250,0.001711,0.004877,
0.075250,0.001275,0.003918,
0.080250,0.005881,0.002658,
0.085250,0.005054,0.005645,
0.090250,0.009921,0.005536,
0.095250,0.024123,0.005322,
